model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,5,48,-0.002326791272761106,-0.11364781956937364,0.3031190642472008,-1.9343930154706974,-0.2800136841688976,0.09166666666666666
pca,5,48,-0.0024320482626970386,-0.11729889724128473,0.287277458850923,-2.1333945400766505,-0.2454587348774847,0.1708333333333333
tucker,5,48,-0.0038632826709023398,-0.176442777937739,0.29423859785085305,-3.3086999468399867,-0.29536250017997234,0.12916666666666668
