trade_date,model,cumulative_nav,drawdown
2016-10-25,pca,0.9950094231747877,-0.004990576825212312
2016-10-26,pca,0.9972077755671155,-0.002792224432884516
2016-10-27,pca,0.9922481570240465,-0.007751842975953549
2016-10-28,pca,0.9881378782091123,-0.011862121790887747
2016-10-31,pca,0.988384762649421,-0.01161523735057901
2016-11-01,pca,0.9909789304951901,-0.009021069504809853
2016-11-02,pca,0.9984806729431912,-0.0015193270568087947
2016-11-03,pca,1.010449280490237,0.0
2016-11-04,pca,1.0214208740941206,0.0
2016-11-07,pca,1.0258051221116509,0.0
2016-11-08,pca,1.0357439356282512,0.0
2016-11-09,pca,1.0375180711394454,0.0
2016-11-10,pca,1.0365496475184568,-0.0009334040995787607
2016-11-11,pca,1.0460950785132197,0.0
2016-11-14,pca,1.0561706009833953,0.0
2016-11-15,pca,1.0782598663844936,0.0
2016-11-16,pca,1.1054101751118546,0.0
2016-11-17,pca,1.1467188657485903,0.0
2016-11-18,pca,1.1708526447030125,0.0
2016-11-21,pca,1.219738671988484,0.0
2016-11-22,pca,1.2512164634439966,0.0
2016-11-23,pca,1.2785071322623058,0.0
2016-11-24,pca,1.2867054365544808,0.0
2016-11-25,pca,1.3056740922336425,0.0
2016-11-28,pca,1.2904447745987904,-0.011663950234931164
2016-11-29,pca,1.272626452108354,-0.025310787984429872
2016-11-30,pca,1.2746518785084597,-0.023759538394541035
2016-12-01,pca,1.2796686595847722,-0.01991724642738546
2016-12-02,pca,1.2794444464209676,-0.02008896857852438
2016-12-05,pca,1.2739590656559165,-0.024290155381325285
2016-12-06,pca,1.275206172584884,-0.02333501126352011
2016-12-07,pca,1.228397024353497,-0.05918557191247176
2016-12-08,pca,1.171149425892865,-0.10303081537801173
2016-12-09,pca,1.1134281345174686,-0.14723885451942675
2016-12-12,pca,1.061760101443963,-0.18681077631892884
2016-12-13,pca,1.0182557256837392,-0.2201302516910717
2016-12-14,pca,1.0067830245026446,-0.2289170548062871
2016-12-15,pca,0.9907915141632438,-0.2411647592177637
2016-12-16,pca,0.9835237350070456,-0.2467310633969063
2016-12-19,pca,0.9774594743314635,-0.2513756073237968
2016-12-20,pca,0.9662747046019156,-0.25994188722172595
2016-12-21,pca,0.9511684851135805,-0.2715115580746511
2016-12-22,pca,0.9509677028057929,-0.27166533481647503
2016-12-23,pca,0.9579064304403369,-0.26635104721912084
2016-12-26,pca,0.9762081853178126,-0.2523339544496943
2016-12-27,pca,0.9929407342809964,-0.23951869751635113
2016-12-28,pca,1.0081444264047255,-0.2278743735505444
2016-12-29,pca,1.0186895390083672,-0.2197979993110878
2016-12-30,pca,1.0177608116431949,-0.22050930037059147
