model,exposure_type,name,weight
cp,industry,J67资本市场服务,0.24897959183673468
cp,industry,D46水的生产和供应业,0.14285714285714285
cp,industry,D44电力、热力生产和供应业,0.13877551020408163
cp,industry,K70房地产业,0.11836734693877551
cp,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.10204081632653061
cp,industry,C39计算机、通信和其他电子设备制造业,0.09795918367346938
cp,industry,G56航空运输业,0.0653061224489796
cp,industry,C27医药制造业,0.04897959183673469
cp,industry,C26化学原料和化学制品制造业,0.036734693877551024
cp,style,quality_factor,0.8326530612244898
cp,style,value_factor,0.1673469387755102
