model,rank,mse,rmse,explained_variance,compression_ratio,bic,ic_mean,rank_ic_mean,ir,rolling_stability
cp,2,0.7858864444475724,0.8865023657315148,-0.08032078233383699,5.547169811320755,2724.8231702820885,-0.07947770798895543,-0.03557870700727843,-0.22137804612927833,0.7012246313097421
tucker,"(3, 2, 2)",0.4900272665166938,0.700019475812419,0.3263827825655511,5.273542600896861,1784.6394431732758,0.06074983196436041,0.0747395461681176,0.20111386135582396,0.9624794320940661
pca,3,0.1371188607194736,0.3702956396171492,0.8115092123909662,0.3342808413871518,49947.41235389506,-0.1031224802092421,-0.10597973455116314,-0.3240842764526238,0.9602045331978136
