from,to,shift_score
2023-11-17,2023-11-20,854978.4736030983
2023-10-31,2023-11-01,799610.2118163522
2023-10-30,2023-10-31,661538.2024359541
2023-12-22,2023-12-25,554399.5625933141
2023-11-10,2023-11-13,516585.0718164398
