model,exposure_type,name,weight
pca,industry,C39计算机、通信和其他电子设备制造业,0.24583333333333332
pca,industry,C35专用设备制造业,0.08229166666666667
pca,industry,C38电气机械和器材制造业,0.07083333333333333
pca,industry,G56航空运输业,0.06041666666666667
pca,industry,C27医药制造业,0.057291666666666664
pca,industry,C26化学原料和化学制品制造业,0.04791666666666667
pca,industry,E48土木工程建筑业,0.041666666666666664
pca,industry,C30非金属矿物制品业,0.036458333333333336
pca,industry,I65软件和信息技术服务业,0.036458333333333336
pca,industry,L72商务服务业,0.03333333333333333
pca,industry,K70房地产业,0.029166666666666667
pca,industry,R87广播、电视、电影和录音制作业,0.027083333333333334
pca,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.025
pca,industry,F52零售业,0.023958333333333335
pca,industry,C32有色金属冶炼和压延加工业,0.020833333333333332
pca,industry,J66货币金融服务,0.01875
pca,industry,C31黑色金属冶炼和压延加工业,0.01875
pca,industry,A03畜牧业,0.017708333333333333
pca,industry,J68保险业,0.017708333333333333
pca,industry,C40仪器仪表制造业,0.015625
pca,industry,C28化学纤维制造业,0.0125
pca,industry,F51批发业,0.008333333333333333
pca,industry,B07石油和天然气开采业,0.007291666666666667
pca,industry,D44电力、热力生产和供应业,0.00625
pca,industry,H61住宿业,0.00625
pca,industry,C33金属制品业,0.00625
pca,industry,B06煤炭开采和洗选业,0.005208333333333333
pca,industry,C25石油、煤炭及其他燃料加工业,0.005208333333333333
pca,industry,C29橡胶和塑料制品业,0.004166666666666667
pca,industry,C13农副食品加工业,0.004166666666666667
pca,industry,I64互联网和相关服务,0.004166666666666667
pca,industry,J67资本市场服务,0.0020833333333333333
pca,industry,R86新闻和出版业,0.0010416666666666667
pca,style,quality_factor,0.7125
pca,style,momentum_factor,0.28125
pca,style,value_factor,0.00625
