left,right,score
300454.SZ,603993.SH,0.9999971221473458
603728.SH,688017.SH,0.9999967510567193
600392.SH,688281.SH,0.9999964502314029
600143.SH,600309.SH,0.9999963593414788
300136.SZ,603728.SH,0.9999960218963297
