from,to,shift_score
2026-03-27,2026-03-30,0.04239556300630076
2026-03-26,2026-03-27,0.025848044638111616
2026-03-25,2026-03-26,0.02366046499898199
2026-03-20,2026-03-23,0.020306291456525252
2026-03-23,2026-03-24,0.01888033312628616
