trade_date,model,cumulative_nav,drawdown
2016-10-25,pca,0.9882702436417893,-0.011729756358210719
2016-10-26,pca,0.9739525128544428,-0.026047487145557158
2016-10-27,pca,0.9680023883061639,-0.03199761169383608
2016-10-28,pca,0.9662273745903117,-0.033772625409688284
2016-10-31,pca,0.9721473841166832,-0.027852615883316778
2016-11-01,pca,0.9744039004548187,-0.025596099545181272
2016-11-02,pca,0.9810881862698212,-0.018911813730178806
2016-11-03,pca,0.9962139460315156,-0.0037860539684844152
2016-11-04,pca,1.0297032411433729,0.0
2016-11-07,pca,1.063225207510931,0.0
2016-11-08,pca,1.0950377793205361,0.0
2016-11-09,pca,1.1454183933390159,0.0
2016-11-10,pca,1.1870488056343347,0.0
2016-11-11,pca,1.1981516248767323,0.0
2016-11-14,pca,1.2178789123246327,0.0
2016-11-15,pca,1.2535526060961286,0.0
2016-11-16,pca,1.2824917387319976,0.0
2016-11-17,pca,1.307140372107774,0.0
2016-11-18,pca,1.3609718372334385,0.0
2016-11-21,pca,1.4055246262361154,0.0
2016-11-22,pca,1.43690633871579,0.0
2016-11-23,pca,1.469262731565507,0.0
2016-11-24,pca,1.5139043118877464,0.0
2016-11-25,pca,1.5059470194563154,-0.0052561396179054976
2016-11-28,pca,1.4769421014036224,-0.024415156356899725
2016-11-29,pca,1.4405020083979028,-0.048485431287473846
2016-11-30,pca,1.43106479733202,-0.05471912187926231
2016-12-01,pca,1.3803779473213877,-0.0882000028125024
2016-12-02,pca,1.3628817759104348,-0.09975698912502318
2016-12-05,pca,1.3339609544141795,-0.11886045641100562
2016-12-06,pca,1.311713961719074,-0.1335555679318684
2016-12-07,pca,1.2732360966567327,-0.1589718804162168
2016-12-08,pca,1.221270991059408,-0.19329710506170805
2016-12-09,pca,1.1645839291031068,-0.23074138837021896
2016-12-12,pca,1.1342237905943018,-0.2507955874833372
2016-12-13,pca,1.102446553054356,-0.27178584247529347
2016-12-14,pca,1.1042509883316438,-0.27059393406792653
2016-12-15,pca,1.1130934360947817,-0.26475311064619267
2016-12-16,pca,1.1101464445076368,-0.2666997274594246
2016-12-19,pca,1.0958315547903235,-0.27615533809802795
2016-12-20,pca,1.0910706581137994,-0.27930011854362125
2016-12-21,pca,1.0679368595899945,-0.2945810040937512
2016-12-22,pca,1.050998386397909,-0.3057696063449491
2016-12-23,pca,1.0483818442271626,-0.3074979468683233
2016-12-26,pca,1.0598707722996439,-0.2999090074734977
2016-12-27,pca,1.0776575830923565,-0.2881600411398636
2016-12-28,pca,1.0997469134509814,-0.27356907248671214
2016-12-29,pca,1.122443044235756,-0.258577285617122
2016-12-30,pca,1.1463032348422555,-0.2428165863317443
