trade_date,model,long_quantile,short_quantile,long_return,short_return,long_short_return,cumulative_nav,drawdown
2016-10-25,pca,1,5,-0.007413952641718402,-0.025437115365824214,0.018023162724105812,1.0180231627241059,0.0
2016-10-26,pca,1,5,-0.009112989522467863,-0.02522591525058429,0.01611292572811643,1.0344264943345816,0.0
2016-10-27,pca,1,5,-0.008111635763369152,-0.010861900250462714,0.002750264487093562,1.0372714407864587,0.0
2016-10-28,pca,1,5,-0.006680356079414029,-0.008781385949252096,0.002101029869838067,1.039450779066681,0.0
2016-10-31,pca,1,5,0.0068510199716079745,-0.0023817420836382552,0.00923276205524623,1.049047780777944,0.0
2016-11-01,pca,1,5,-0.0019130541890882147,-0.008110444212943158,0.006197390023854943,1.0555491390290843,0.0
2016-11-02,pca,1,5,0.00480829543672584,-0.015506790155409594,0.020315085592135435,1.076992710135165,0.0
2016-11-03,pca,1,5,0.012186270837235336,-0.014538527261800438,0.026724798099035774,1.1057751228676607,0.0
2016-11-04,pca,1,5,0.03605162493925096,-0.014735644753803068,0.05078726969305403,1.1619344222526105,0.0
2016-11-07,pca,1,5,0.02198557196839579,0.011583834288489414,0.010401737679906375,1.1740205593141357,0.0
2016-11-08,pca,1,5,0.018304798139928025,0.010905579327755988,0.007399218812172037,1.1827073943224897,0.0
2016-11-09,pca,1,5,0.08675175359949372,0.022553129770992386,0.06419862382850133,1.2586355814297863,0.0
2016-11-10,pca,1,5,0.02523076923076928,0.026784629966299434,-0.0015538607355301548,1.2566798370194614,-0.0015538607355300993
2016-11-11,pca,1,5,-0.0009940357852883386,0.0033796133383303395,-0.004373649123618678,1.251183560351612,-0.005920713817504697
2016-11-14,pca,1,5,0.008625608323544198,0.010695369945011357,-0.002069761621467159,1.2485939086369855,-0.007978220972740702
2016-11-15,pca,1,5,0.022627201565557753,0.00890379078927045,0.013723410776287304,1.265728875737981,0.0
2016-11-16,pca,1,5,0.001958250497017866,0.0003692736246868056,0.0015889768723310604,1.26774008964817,0.0
2016-11-17,pca,1,5,0.0029644268774703386,0.014215176851351624,-0.011250749973881286,1.2534770628676726,-0.011250749973881313
2016-11-18,pca,1,5,0.01771293205556157,0.021078799249530933,-0.003365867193969363,1.2492580255433732,-0.01457874863760611
2016-11-21,pca,1,5,0.011639569256756799,0.01335289039464116,-0.0017133211378843605,1.247117645361538,-0.016267091697285796
2016-11-22,pca,1,5,0.01767056530214428,0.02971825699722258,-0.0120476916950783,1.2320927564627302,-0.02811880248681964
