market,tdx_prefix,stock_code,trade_date,open,high,low,close,amount,volume,source_file
sh,sh,000905.SH,2015-03-26,7104.04,7171.62,6995.65,7074.44,246538403840.0,1639263.8,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-03-27,7076.49,7167.37,7060.43,7155.95,189864132608.0,1264609.82,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-03-30,7180.06,7259.54,7180.06,7245.5,238312210432.0,1632195.46,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-03-31,7280.15,7328.85,7214.48,7253.1,253293314048.0,1699060.03,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-01,7258.83,7430.94,7258.74,7425.73,237481246720.0,1549188.06,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-02,7463.91,7561.2,7447.12,7560.65,260629004288.0,1676509.49,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-03,7532.15,7682.72,7494.36,7679.01,264305082368.0,1701235.61,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-07,7728.91,7863.6,7728.8,7863.28,286054842368.0,1809048.35,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-08,7908.77,7920.98,7674.07,7808.0,307712098304.0,1894957.27,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-09,7818.2,7818.2,7483.28,7746.15,291842949120.0,1827547.49,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-10,7727.01,7971.62,7683.8,7952.19,259672637440.0,1615029.66,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-13,7994.25,8143.38,7977.0,8122.89,297003778048.0,1784849.87,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-14,8129.73,8192.24,8039.95,8119.96,298146037760.0,1831904.97,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-15,8093.13,8093.13,7786.93,7802.75,266483499008.0,1672110.24,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-16,7705.46,7976.12,7607.4,7912.09,230085197824.0,1432460.59,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-17,7979.35,8032.08,7925.74,7980.76,299255005184.0,1911098.24,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-20,7967.03,8051.47,7801.03,7839.9,330349019136.0,2145960.65,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-21,7852.51,8113.02,7846.61,8112.69,272448487424.0,1698104.09,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-22,8180.12,8333.82,8179.3,8323.43,318652481536.0,1991569.22,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-23,8371.85,8447.92,8275.13,8410.7,322874343424.0,1979949.63,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-24,8321.33,8453.34,8256.2,8419.09,304027500544.0,1835276.76,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-27,8503.57,8576.48,8413.23,8513.02,307313967104.0,1856855.31,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-28,8533.67,8543.33,8187.15,8266.48,303637299200.0,1842576.25,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-29,8248.31,8449.7,8204.73,8428.25,248413782016.0,1450747.27,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-04-30,8460.39,8551.46,8458.6,8469.67,252898934784.0,1466538.91,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-04,8493.96,8532.65,8381.37,8510.48,235268997120.0,1362046.01,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-05,8501.12,8501.12,8160.66,8199.34,237914882048.0,1442242.75,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-06,8220.6,8359.3,8012.48,8083.0,219298267136.0,1293139.35,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-07,8043.01,8076.23,7886.36,7903.48,179222921216.0,1125709.41,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-08,7989.34,8201.8,7983.83,8201.29,203153653760.0,1188875.74,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-11,8292.63,8558.8,8242.1,8558.22,268455215104.0,1485723.1,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-12,8595.08,8746.21,8564.66,8745.68,301031751680.0,1658490.63,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-13,8719.58,8909.58,8643.43,8824.93,317305028608.0,1749864.41,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-14,8829.83,8878.47,8725.3,8813.39,272167501824.0,1490178.53,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-15,8790.01,8828.11,8626.23,8742.88,256824541184.0,1437135.77,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-18,8725.41,8929.94,8698.9,8903.59,255350816768.0,1404453.9,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-19,8927.39,9125.51,8904.19,9124.83,270857994240.0,1517545.92,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-20,9176.03,9429.22,9173.4,9277.33,341437218816.0,1909559.67,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-21,9320.84,9620.09,9320.23,9619.22,339920125952.0,1871779.92,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-22,9756.53,9821.81,9547.42,9778.17,408871993344.0,2225078.72,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-25,9717.51,10040.71,9659.32,10040.09,415725092864.0,2284639.54,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-26,10117.73,10373.84,10046.24,10373.58,454167429120.0,2385142.76,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-27,10421.3,10539.75,10192.18,10497.34,448444530688.0,2326121.8,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-28,10501.36,10637.92,9860.55,9868.42,484525604864.0,2580940.75,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-05-29,9846.39,10140.1,9433.09,9966.84,365693599744.0,1987726.38,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-01,10067.53,10488.89,10067.53,10488.31,352130007040.0,1860161.36,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-02,10592.75,10887.88,10541.28,10886.4,413213458432.0,2132342.25,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-03,10973.96,11055.21,10674.07,10979.99,422516260864.0,2090595.7,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-04,10986.42,11023.34,10269.04,10965.41,416105857024.0,2114601.89,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-05,11117.36,11236.15,10887.17,11144.52,484267032576.0,2488746.0,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-08,11157.18,11157.18,10860.39,11030.92,457818570752.0,2356305.81,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-09,11009.88,11089.2,10861.58,11013.74,365243105280.0,1851844.69,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
sh,sh,000905.SH,2015-06-10,10947.49,11319.91,10830.33,11208.06,375121149952.0,1845903.64,D:\stock\TongDaXin\vipdoc\sh\lday\sh000905.day
