trade_date,model,top_n,gross_return,transaction_cost,net_return,cumulative_nav,drawdown
2016-10-25,tucker,5,-0.01015663864587375,0.001,-0.01115663864587375,0.9888433613541262,-0.011156638645873795
2016-10-26,tucker,5,-0.01219311407262209,0.0,-0.01219311407262209,0.9767862814491802,-0.023213718550819773
2016-10-27,tucker,5,0.0007286567729663185,0.0,0.0007286567729663185,0.9774980233888987,-0.022501976611101315
2016-10-28,tucker,5,-0.0006164318135021274,0.0,-0.0006164318135021274,0.9768954625096463,-0.023104537490353683
2016-10-31,tucker,5,0.010628270196254008,0.0,0.010628270196254008,0.9872781714386932,-0.01272182856130677
2016-11-01,tucker,5,0.012269976130799809,0.0,0.012269976130799809,0.9993920510367057,-0.0006079489632943025
2016-11-02,tucker,5,0.02730581931693723,0.0,0.02730581931693723,1.0266812698090975,0.0
2016-11-03,tucker,5,0.032192432346973644,0.0,0.032192432346973644,1.0597326371293316,0.0
2016-11-04,tucker,5,0.041773323040356566,0.0,0.041773323040356566,1.1040011909165441,0.0
2016-11-07,tucker,5,0.034687279654305805,0.0,0.034687279654305805,1.142295988964553,0.0
2016-11-08,tucker,5,0.025748103694391223,0.0,0.025748103694391223,1.1717079445380993,0.0
2016-11-09,tucker,5,0.019206060324449804,0.0,0.019206060324449804,1.1942118380035351,0.0
2016-11-10,tucker,5,0.014756498792375793,0.0,0.014756498792375793,1.2118342235488753,0.0
2016-11-11,tucker,5,0.0058934450872954345,0.0,0.0058934450872954345,1.2189761020002658,0.0
2016-11-14,tucker,5,0.01094933981245989,0.0,0.01094933981245989,1.2323230855643343,0.0
2016-11-15,tucker,5,0.019233623489335706,0.0,0.019233623489335706,1.2560251238092952,0.0
2016-11-16,tucker,5,0.010674311730167373,0.0,0.010674311730167373,1.2694323275217576,0.0
2016-11-17,tucker,5,0.006396228266814829,0.0,0.006396228266814829,1.2775519064578609,0.0
2016-11-18,tucker,5,0.020490970002399765,0.0,0.020490970002399765,1.3037301842495976,0.0
2016-11-21,tucker,5,0.017695711996726926,0.0,0.017695711996726926,1.3268006181115182,0.0
2016-11-22,tucker,5,0.02738472624395196,0.0,0.02738472624395196,1.3631346898188084,0.0
2016-11-23,tucker,5,0.03009482319772496,0.0,0.03009482319772496,1.404157987303591,0.0
2016-11-24,tucker,5,0.03185589986889621,0.0,0.03185589986889621,1.448888703547245,0.0
2016-11-25,tucker,5,0.01473239377510407,0.0,0.01473239377510407,1.470234302464203,0.0
2016-11-28,tucker,5,-0.003590490126611989,0.0,-0.003590490126611989,1.464955440717399,-0.003590490126612056
2016-11-29,tucker,5,-0.021466171439584115,0.0,-0.021466171439584115,1.433508456075608,-0.024979587489586064
2016-11-30,tucker,5,-0.006297129957458991,0.0,-0.006297129957458991,1.4244814670325834,-0.031119417738339483
2016-12-01,tucker,5,-0.013760316558239904,0.0,-0.013760316558239904,1.404880151114869,-0.044451521257391824
2016-12-02,tucker,5,-0.006293389131640792,0.0,-0.006293389131640792,1.3960386936405849,-0.05046515966826637
2016-12-05,tucker,5,-0.021193422677610974,0.0,-0.021193422677610974,1.3664518555319602,-0.0705890528865345
2016-12-06,tucker,5,-0.022767919309198414,0.0,-0.022767919309198414,1.3353405899453041,-0.09174980633549956
2016-12-07,tucker,5,-0.031726438450319215,0.0,-0.031726438450319215,1.2929749889081916,-0.12056535020228676
2016-12-08,tucker,5,-0.033305730036039136,0.0,-0.033305730036039136,1.2499115129842648,-0.14985556323278793
2016-12-09,tucker,5,-0.020702706887346146,0.0,-0.020702706887346146,1.2240349612958323,-0.16745585431908738
2016-12-12,tucker,5,0.020733778166792317,0.0,0.020733778166792317,1.2494138306517382,-0.15019406868847784
2016-12-13,tucker,5,0.027925649539657614,0.0,0.027925649539657614,1.2843045234165198,-0.12646268607394995
2016-12-14,tucker,5,0.03818605854961241,0.0,0.03818605854961241,1.333347051143235,-0.09310573905909869
2016-12-15,tucker,5,0.04060022649296267,0.0,0.04060022649296267,1.387481243413374,-0.05628562665973014
2016-12-16,tucker,5,0.01701868049633799,0.0,0.01701868049633799,1.4110943433896879,-0.04022485326005043
2016-12-19,tucker,5,0.011593538326068176,0.0,0.011593538326068176,1.4274539197414742,-0.029097663311913213
2016-12-20,tucker,5,0.00621733956634285,0.0,0.00621733956634285,1.4363288854758143,-0.023061233798967407
2016-12-21,tucker,5,-0.006581344869865014,0.0,-0.006581344869865014,1.426875909733949,-0.029490804736076903
2016-12-22,tucker,5,-0.006136687708461874,0.0,-0.006136687708461874,1.4181196178771842,-0.03544651658560238
2016-12-23,tucker,5,0.005501159039307235,0.0,0.005501159039307235,1.4259209194318883,-0.030140354471421937
2016-12-26,tucker,5,0.0,0.0,0.0,1.4259209194318883,-0.030140354471421937
2016-12-27,tucker,5,0.0,0.0,0.0,1.4259209194318883,-0.030140354471421937
2016-12-28,tucker,5,0.0,0.0,0.0,1.4259209194318883,-0.030140354471421937
2016-12-29,tucker,5,0.0,0.0,0.0,1.4259209194318883,-0.030140354471421937
2016-12-30,tucker,5,0.0,0.0,0.0,1.4259209194318883,-0.030140354471421937
