trade_date,model,cumulative_nav,drawdown
2016-10-25,pca,0.9898433613541262,-0.010156638645873795
2016-10-26,pca,0.9777740883351076,-0.022225911664892406
2016-10-27,pca,0.9784865500470039,-0.02151344995299609
2016-10-28,pca,0.977883379808471,-0.022116620191529046
2016-10-31,pca,0.9882765885895014,-0.011723411410498596
2016-11-01,pca,1.000402718742123,0.0
2016-11-02,pca,1.0277195346242682,0.0
2016-11-03,pca,1.0608043262143232,0.0
2016-11-04,pca,1.1051176480158817,0.0
2016-11-07,pca,1.1434511729235173,0.0
2016-11-08,pca,1.1728928722934253,0.0
2016-11-09,pca,1.19541952355281,0.0
2016-11-10,pca,1.2130597303084996,0.0
2016-11-11,pca,1.220208831216682,0.0
2016-11-14,pca,1.233569312351838,0.0
2016-11-15,pca,1.257295320053612,0.0
2016-11-16,pca,1.270716082236745,0.0
2016-11-17,pca,1.2788438723610438,0.0
2016-11-18,pca,1.3050486237873469,0.0
2016-11-21,pca,1.3281423883756125,0.0
2016-11-22,pca,1.3645132040942671,0.0
2016-11-23,pca,1.4055779877224452,0.0
2016-11-24,pca,1.4503539393572562,0.0
2016-11-25,pca,1.4717211247051407,0.0
2016-11-28,pca,1.4664369245377606,-0.003590490126611945
2016-11-29,pca,1.4349581381102967,-0.024979587489586064
2016-11-30,pca,1.4344702908999276,-0.025311068231541722
2016-12-01,pca,1.3949806888750944,-0.052143326980796934
2016-12-02,pca,1.3678201292436463,-0.07059829047592903
2016-12-05,pca,1.3198808329276048,-0.1031719183944968
2016-12-06,pca,1.280735318505216,-0.12977037768496313
2016-12-07,pca,1.237723215099542,-0.15899609353808797
2016-12-08,pca,1.200295443067976,-0.1844273871461517
2016-12-09,pca,1.1706984715820026,-0.20453783537519588
2016-12-12,pca,1.1885337020218352,-0.19241921443510035
2016-12-13,pca,1.2116890269307359,-0.17668571403193134
2016-12-14,pca,1.2488806005332442,-0.15141491171878274
2016-12-15,pca,1.285867051775282,-0.12628348524051702
2016-12-16,pca,1.2997983552175814,-0.1168174911683788
2016-12-19,pca,1.3187598830250806,-0.10393357757279309
2016-12-20,pca,1.330212878167932,-0.09615153588663738
2016-12-21,pca,1.3238109435729493,-0.10050150035172267
2016-12-22,pca,1.3137615860365461,-0.1073298031923281
2016-12-23,pca,1.3204277007306422,-0.10280033454355031
2016-12-26,pca,1.3217975523456622,-0.10186955248706897
2016-12-27,pca,1.337157407063015,-0.09143289131565979
2016-12-28,pca,1.3703107061205273,-0.06890600187921536
2016-12-29,pca,1.4109377210001024,-0.04130089776160295
2016-12-30,pca,1.4582356254648927,-0.009163080568643567
