model,exposure_type,name,weight
pca,industry,J67资本市场服务,0.3183673469387755
pca,industry,C26化学原料和化学制品制造业,0.2
pca,industry,K70房地产业,0.17959183673469387
pca,industry,D46水的生产和供应业,0.10612244897959183
pca,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.08571428571428572
pca,industry,C27医药制造业,0.06938775510204082
pca,industry,D44电力、热力生产和供应业,0.02040816326530612
pca,industry,G56航空运输业,0.012244897959183673
pca,industry,C39计算机、通信和其他电子设备制造业,0.00816326530612245
pca,style,momentum_factor,0.2653061224489796
pca,style,quality_factor,0.2530612244897959
pca,style,value_factor,0.24081632653061225
pca,style,volatility_factor,0.24081632653061225
