from,to,shift_score
2021-12-24,2021-12-27,0.09399163875515834
2021-11-19,2021-11-22,0.08369752810252584
2021-10-29,2021-11-01,0.08300079392538115
2021-11-11,2021-11-12,0.07534561288755279
2021-11-08,2021-11-09,0.07048167003940747
