from,to,shift_score
2021-10-29,2021-11-01,0.04873326232652054
2021-11-19,2021-11-22,0.03469036858373518
2021-11-05,2021-11-08,0.03166556438400561
2021-10-27,2021-10-28,0.024084013223506045
2021-12-17,2021-12-20,0.024070227519946596
