trade_date,model,cumulative_nav,drawdown
2019-10-24,cp,0.9997403710186125,-0.00025962898138753854
2019-10-25,cp,0.9984080576025204,-0.0015919423974796176
2019-10-28,cp,1.0023361450697101,0.0
2019-10-29,cp,1.0204444398849153,0.0
2019-10-30,cp,1.0315880276805487,0.0
2019-10-31,cp,1.0534038356727682,0.0
2019-11-01,cp,1.0627974103595796,0.0
2019-11-04,cp,1.0190153987781512,-0.04119506799194739
2019-11-05,cp,0.9790141494573305,-0.07883276726643751
2019-11-06,cp,0.9409409668480156,-0.11465632332537945
2019-11-07,cp,0.9040045784043815,-0.14941025486830384
2019-11-08,cp,0.8731300369463282,-0.17846051520682638
2019-11-11,cp,0.8743886544792147,-0.17727626548941255
2019-11-12,cp,0.8737508501925256,-0.17787638389436167
2019-11-13,cp,0.8748437464059746,-0.17684806353641191
2019-11-14,cp,0.8778384867774478,-0.17403027310685115
2019-11-15,cp,0.878558953903771,-0.17335237615367793
2019-11-18,cp,0.890072076628672,-0.16251952822548643
2019-11-19,cp,0.898075416936812,-0.15498908053138438
2019-11-20,cp,0.9045938257271907,-0.14885582434648892
2019-11-21,cp,0.9123034391751856,-0.14160174810124626
2019-11-22,cp,0.9154311606633972,-0.1386588339976511
2019-11-25,cp,0.9136093455756382,-0.14037300366912464
2019-11-26,cp,0.8951902847980558,-0.15770373913953817
2019-11-27,cp,0.8823291083853372,-0.16980498843442238
2019-11-28,cp,0.8784694877114552,-0.17343655606552544
2019-11-29,cp,0.884327384072594,-0.16792478467425254
2019-12-02,cp,0.8879862427324934,-0.1644821166509447
2019-12-03,cp,0.8955519379365326,-0.15736345496594906
2019-12-04,cp,0.9158780728782804,-0.13823832844266304
2019-12-05,cp,0.9242989436581468,-0.13031502086044244
2019-12-06,cp,0.9441462439693883,-0.11164043611100605
2019-12-09,cp,0.9661331089486662,-0.09095270694930346
2019-12-10,cp,0.9877841443593279,-0.07058096422616633
2019-12-11,cp,1.004927711744661,-0.054450357190218845
2019-12-12,cp,1.0302441788570045,-0.030629761782691278
2019-12-13,cp,1.0390413756514998,-0.02235236412557906
2019-12-16,cp,1.0300955034701442,-0.030769652400988945
2019-12-17,cp,1.0160749588391018,-0.04396176643361416
2019-12-18,cp,1.0145921478157531,-0.04535696274186163
2019-12-19,cp,1.0235976310666304,-0.03688358563057348
2019-12-20,cp,1.0333729648140495,-0.02768584610643232
2019-12-23,cp,1.066375171327479,0.0
2019-12-24,cp,1.099880934195582,0.0
2019-12-25,cp,1.1378272537287688,0.0
2019-12-26,cp,1.159407794191202,0.0
2019-12-27,cp,1.1668977380094911,0.0
2019-12-30,cp,1.1773159018277333,0.0
2019-12-31,cp,1.1630684840922545,-0.012101609868141794
