from,to,shift_score
2022-11-29,2022-11-30,0.10068935520664729
2022-10-31,2022-11-01,0.09958428637663164
2022-11-11,2022-11-14,0.07968419283334148
2022-12-08,2022-12-09,0.07470908860453675
2022-12-23,2022-12-26,0.06991213450696296
