trade_date,model,top_n,gross_return,transaction_cost,net_return,cumulative_nav,drawdown
2019-10-24,pca,20,0.0003266861348805605,0.0001,0.00022668613488056053,1.0002266861348805,0.0
2019-10-25,pca,20,-0.010335431648283,9.999999999999997e-06,-0.010345431648282999,0.9898789093206836,-0.010345431648282943
2019-10-28,pca,20,-0.0015315158515678217,1.5000000000000002e-05,-0.0015465158515678217,0.9883480458962864,-0.011875948125815383
2019-10-29,pca,20,0.015078721256020805,9.999999999999997e-06,0.015068721256020805,1.0032411871038305,0.0
2019-10-30,pca,20,0.03543572979190547,2.5e-05,0.035410729791905474,1.0387666896964747,0.0
2019-10-31,pca,20,0.007292262861982568,9.999999999999997e-06,0.007282262861982568,1.046331261783116,0.0
2019-11-01,pca,20,-0.01485012130550042,5.000000000000005e-06,-0.014855121305500419,1.0307878839635904,-0.014855121305500485
2019-11-04,pca,20,-0.024111074350124558,9.999999999999997e-06,-0.024121074350124557,1.0059241727752972,-0.03861787417013485
2019-11-05,pca,20,-0.02785825084516616,1.5000000000000002e-05,-0.02787325084516616,0.9778857959763151,-0.06541471932144971
2019-11-06,pca,20,-0.03162733192673844,9.999999999999997e-06,-0.03163733192673844,0.9469480984625696,-0.0949825040601211
2019-11-07,pca,20,-0.03177998510594534,1.5000000000000002e-05,-0.03179498510594534,0.9168398977758488,-0.12375752186414957
2019-11-08,pca,20,-5.819295174145367e-05,1.9999999999999995e-05,-7.819295174145366e-05,0.9167682073579674,-0.12382603784995627
2019-11-11,pca,20,-0.002106266724023398,9.999999999999997e-06,-0.002116266724023398,0.9148280813070931,-0.1256802556505101
2019-11-12,pca,20,0.009294205582576941,1.9999999999999995e-05,0.009274205582576942,0.9233123850058496,-0.11757163459650677
2019-11-13,pca,20,0.013006815780605568,1.5000000000000002e-05,0.012991815780605568,0.935307889419797,-0.10610728783360379
2019-11-14,pca,20,0.011371587674832307,9.999999999999997e-06,0.011361587674832307,0.9459344720084024,-0.09595124741243166
2019-11-15,pca,20,0.010995642743141649,5.000000000000005e-06,0.010990642743141649,0.9563308998486691,-0.08601517055035879
2019-11-18,pca,20,-0.004915231845761791,1.5000000000000002e-05,-0.0049302318457617915,0.9516159667911492,-0.09052132766305454
2019-11-19,pca,20,0.0023543187049654356,5.000000000000005e-06,0.002349318704965436,0.9538516159818755,-0.08838467240636616
2019-11-20,pca,20,-0.004100094107544999,1.5000000000000002e-05,-0.0041150941075449995,0.9499264268174763,-0.09213605526929436
2019-11-21,pca,20,0.01274282594881455,0.0,0.01274282594881455,0.9620311739385906,-0.08056730303638693
2019-11-22,pca,20,0.007622553138175098,1.5000000000000002e-05,0.007607553138175098,0.9693498772149095,-0.07357266993726042
2019-11-25,pca,20,0.01460227971987289,5.000000000000005e-06,0.01459727971987289,0.9834997485190399,-0.06004935106019971
2019-11-26,pca,20,0.010901020681223622,9.999999999999997e-06,0.010891020681223622,0.994211064620139,-0.04981232910326683
2019-11-27,pca,20,0.023197767517449907,1.5000000000000002e-05,0.023182767517449906,1.017259628594504,-0.02778434923092077
2019-11-28,pca,20,0.01848590887854898,1.5000000000000002e-05,0.018470908878548978,1.0360493385000997,-0.009826642535265773
2019-11-29,pca,20,0.014792015621842663,1.9999999999999995e-05,0.014772015621842664,1.051353875513423,0.0
2019-12-02,pca,20,0.00725680172022522,9.999999999999997e-06,0.00724680172022522,1.0589728285870592,0.0
2019-12-03,pca,20,0.014760684063398598,2.5e-05,0.014735684063398598,1.0745775176208416,0.0
2019-12-04,pca,20,-0.0023943022401788474,1.9999999999999995e-05,-0.0024143022401788474,1.0719831627128038,-0.0024143022401789116
2019-12-05,pca,20,0.011585717874132356,1.9999999999999995e-05,0.011565717874132356,1.0843814175385602,0.0
2019-12-06,pca,20,0.03209217082208166,1.5000000000000002e-05,0.03207717082208166,1.1191653055052357,0.0
2019-12-09,pca,20,0.03807317486135153,1.5000000000000002e-05,0.03805817486135153,1.161758694400912,0.0
2019-12-10,pca,20,0.04952419970752721,5.000000000000005e-06,0.04951919970752721,1.2192880552009069,0.0
2019-12-11,pca,20,0.05579861475132854,1.5000000000000002e-05,0.055783614751328536,1.2873043503431307,0.0
2019-12-12,pca,20,0.040890537210740666,9.999999999999997e-06,0.04088053721074066,1.3399300437388812,0.0
2019-12-13,pca,20,-0.002311534808409871,9.999999999999997e-06,-0.002321534808409871,1.3368193495015073,-0.0023215348084099086
2019-12-16,pca,20,-0.00025721840774265423,1.9999999999999995e-05,-0.00027721840774265423,1.336448758569999,-0.0025981096439694484
2019-12-17,pca,20,0.000519258962599739,2.5e-05,0.0004942589625997391,1.3371093103469776,-0.00210513482034691
2019-12-18,pca,20,0.017033956157390152,9.999999999999997e-06,0.017023956157390153,1.3598722006239627,0.0
2019-12-19,pca,20,-0.0032639973344791074,5.000000000000005e-06,-0.0032689973344791072,1.3554267820248906,-0.0032689973344791623
2019-12-20,pca,20,0.0408343160191511,9.999999999999997e-06,0.0408243160191511,1.4107611533150957,0.0
2019-12-23,pca,20,0.03309859922390716,2.5e-05,0.033073599223907166,1.457420102300496,0.0
2019-12-24,pca,20,0.04967601931514894,1.9999999999999995e-05,0.04965601931514894,1.5297897830506157,0.0
2019-12-25,pca,20,0.027806437974947317,1.5000000000000002e-05,0.027791437974947316,1.572304840920975,0.0
2019-12-26,pca,20,0.039998009444451074,1.5000000000000002e-05,0.03998300944445107,1.6351703202250745,0.0
2019-12-27,pca,20,0.0338520783837713,1.9999999999999995e-05,0.0338320783837713,1.6904915306697457,0.0
2019-12-30,pca,20,0.01909624613444893,1.5000000000000002e-05,0.019081246134448927,1.7227482156546565,0.0
2019-12-31,pca,20,0.0010062918349772521,1.5000000000000002e-05,0.000991291834977252,1.7244559618945565,0.0
