model,exposure_type,name,weight
cp,industry,C36汽车制造业,0.10510204081632653
cp,industry,D44电力、热力生产和供应业,0.06836734693877551
cp,industry,C39计算机、通信和其他电子设备制造业,0.06326530612244897
cp,industry,C35专用设备制造业,0.05714285714285714
cp,industry,C31黑色金属冶炼和压延加工业,0.05612244897959184
cp,industry,B09有色金属矿采选业,0.05
cp,industry,A03畜牧业,0.04183673469387755
cp,industry,B11开采专业及辅助性活动,0.036734693877551024
cp,industry,C28化学纤维制造业,0.03469387755102041
cp,industry,B06煤炭开采和洗选业,0.0326530612244898
cp,industry,C38电气机械和器材制造业,0.0326530612244898
cp,industry,C26化学原料和化学制品制造业,0.030612244897959183
cp,industry,J68保险业,0.02959183673469388
cp,industry,C30非金属矿物制品业,0.02959183673469388
cp,industry,I65软件和信息技术服务业,0.025510204081632654
cp,industry,C32有色金属冶炼和压延加工业,0.025510204081632654
cp,industry,J66货币金融服务,0.022448979591836733
cp,industry,J67资本市场服务,0.022448979591836733
cp,industry,C14食品制造业,0.02142857142857143
cp,industry,K70房地产业,0.02142857142857143
cp,industry,E48土木工程建筑业,0.02040816326530612
cp,industry,J69其他金融业,0.019387755102040816
cp,industry,C18纺织服装、服饰业,0.019387755102040816
cp,industry,L72商务服务业,0.018367346938775512
cp,industry,N77生态保护和环境治理业,0.018367346938775512
cp,industry,I64互联网和相关服务,0.015306122448979591
cp,industry,B07石油和天然气开采业,0.013265306122448979
cp,industry,C27医药制造业,0.013265306122448979
cp,industry,C22造纸和纸制品业,0.011224489795918367
cp,industry,A01农业,0.01020408163265306
cp,industry,R87广播、电视、电影和录音制作业,0.01020408163265306
cp,industry,C15酒、饮料和精制茶制造业,0.006122448979591836
cp,industry,S91综合,0.00510204081632653
cp,industry,C34通用设备制造业,0.00510204081632653
cp,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.003061224489795918
cp,industry,C24文教、工美、体育和娱乐用品制造业,0.0020408163265306124
cp,industry,C29橡胶和塑料制品业,0.0010204081632653062
cp,industry,G56航空运输业,0.0010204081632653062
cp,style,value_factor,0.5244897959183673
cp,style,quality_factor,0.47551020408163264
