model,rank,mse,rmse,explained_variance,compression_ratio,bic,ic_mean,rank_ic_mean,ir,rolling_stability
cp,2,0.965023701093292,0.9823561986842105,0.005675272809639864,60.0889748549323,9200.213178327545,0.008066203894896698,0.027027958930424534,0.05771780210173108,0.7514409088322888
tucker,"(3, 2, 2)",0.5321589145882367,0.7294922306565278,0.4516831379681181,45.65172667156502,-24172.301568787476,-0.024810562085541246,-0.001817929026605803,-0.4020748852733845,0.9832097429316491
pca,3,0.1880252059164722,0.4336187333550895,0.8062657825232692,0.33501383040100075,1943102.395470296,0.0017788443599634515,-0.05846155549502993,0.023821882196745452,0.9754837322721465
