trade_date,model,top_n,daily_return,cumulative_nav,turnover,drawdown
2015-10-26,cp,20,-0.018972881751252356,0.9810271182487477,1.0,-0.018972881751252335
2015-10-27,cp,20,-0.06028147412477449,0.9218893574043338,0.09999999999999998,-0.07811064259566625
2015-10-28,cp,20,0.002075654944501215,0.923802881607313,0.9,-0.07619711839268695
2015-10-29,cp,20,0.03508799900227703,0.956217276195451,0.7,-0.04378272380454895
2015-10-30,cp,20,0.018043081009659824,0.9734703819726819,1.0,-0.026529618027318125
2015-11-02,cp,20,0.047967467770383604,1.0201652911453796,0.050000000000000044,0.0
2015-11-03,cp,20,0.07619737450282538,1.0978992078895677,0.55,0.0
2015-11-04,cp,20,0.04468886589520884,1.1469630783574007,0.0,0.0
2015-11-05,cp,20,0.049495055227841915,1.203732079264996,0.44999999999999996,0.0
2015-11-06,cp,20,0.029206355830897257,1.2388887066970753,0.4,0.0
2015-11-09,cp,20,-0.020334597567647585,1.2136964034152868,1.0,-0.02033459756764766
2015-11-10,cp,20,-0.016817209803768423,1.1932854163609727,0.050000000000000044,-0.03680983617784572
2015-11-11,cp,20,-0.015989357999736175,1.1742055486429128,0.75,-0.05221062852902281
2015-11-12,cp,20,-0.008264313225723385,1.1645015461975454,0.7,-0.060043456766870396
2015-11-13,cp,20,0.01674259783081713,1.1839983272588956,0.050000000000000044,-0.04430614238507302
2015-11-16,cp,20,0.013818994844868265,1.200359994039619,0.050000000000000044,-0.03109941389342008
2015-11-17,cp,20,0.009475958428405068,1.211734555442259,0.050000000000000044,-0.021918152218216913
2015-11-18,cp,20,0.07796206626959301,1.3062038851548041,0.8,0.0
2015-11-19,cp,20,0.03689683506551332,1.3543986744672936,0.19999999999999996,0.0
2015-11-20,cp,20,-0.04538667831640384,1.2929270175170826,0.6,-0.04538667831640397
2015-11-23,cp,20,-0.041575626702183406,1.239172766483625,0.050000000000000044,-0.08507532542365248
2015-11-24,cp,20,-0.03576921205616593,1.1948485330250465,0.15000000000000002,-0.1178014601239924
2015-11-25,cp,20,-0.01596412777136088,1.1757738183764115,0.0,-0.13188499033428103
2015-11-26,cp,20,-0.0008460624704659636,1.1747790402749267,0.0,-0.1326194698640074
2015-11-27,cp,20,0.02484346437747243,1.2039646215133981,0.050000000000000044,-0.11107073256186073
2015-11-30,cp,20,0.019695450092061223,1.2276772466290227,0.09999999999999998,-0.09356287053966028
2015-12-01,cp,20,-0.0017034149930017339,1.2255860028005476,0.0,-0.09510690913619657
2015-12-02,cp,20,-0.03946666863974776,1.1772162061385054,0.19999999999999996,-0.1308200249077155
2015-12-03,cp,20,-0.04965653549923814,1.1187597278081103,0.0,-0.17398049119611236
2015-12-04,cp,20,-0.03226428714332984,1.082663742705716,0.0,-0.20063142181415328
2015-12-07,cp,20,-0.008985073043863834,1.072935929895562,0.0,-0.20781380687812268
2015-12-08,cp,20,-0.0022999932447655804,1.070468184504736,0.0,-0.20963582977089967
2015-12-09,cp,20,-0.0022551965865518333,1.0680540683090285,0.0,-0.2114182563497332
2015-12-10,cp,20,0.02127859502647071,1.0907807582949507,0.0,-0.19463834478133102
2015-12-11,cp,20,0.029691063181451195,1.1231671987065972,0.0,-0.17072630099231556
2015-12-14,cp,20,0.03273464322960493,1.1599336762434524,0.050000000000000044,-0.14358032231560425
2015-12-15,cp,20,0.045086468317036735,1.2122309891872667,0.0,-0.10496738365159997
2015-12-16,cp,20,0.03812439931874162,1.2584465674855954,0.0,-0.07084480278263539
2015-12-17,cp,20,0.015261122983877112,1.277651875320631,0.0,-0.05666485104679264
2015-12-18,cp,20,0.015804680377078308,1.2978447548432483,0.0,-0.041755740529123564
2015-12-21,cp,20,-0.03217005906935824,1.2560930124170844,0.050000000000000044,-0.072582514959175
2015-12-22,cp,20,-0.023851464124842042,1.2261333549939535,0.050000000000000044,-0.09470277983237751
2015-12-23,cp,20,-0.011016446923179319,1.2126257219679228,0.050000000000000044,-0.10467593860805591
2015-12-24,cp,20,-0.013506416601429478,1.1962474937854148,0.09999999999999998,-0.1167685583744994
2015-12-25,cp,20,-0.07554111395445348,1.1058816255396413,0.050000000000000044,-0.18348884535448762
2015-12-28,cp,20,-0.03705231447150363,1.064906151781889,0.0,-0.21374247342590358
2015-12-29,cp,20,-0.011075831333126807,1.0531114308591436,0.0,-0.22245092917463982
2015-12-30,cp,20,-0.0809985531540967,0.9678109286495125,0.0,-0.2854312789178062
2015-12-31,cp,20,-0.03677999251700143,0.9322148499359111,0.0,-0.31171311113209266
