index_id,change_date,previous_snapshot_date,change_type,code,code_name
hs300,2026-03-02,,add,sh.601633,长城汽车
hs300,2026-03-02,,add,sh.601658,邮储银行
hs300,2026-03-02,,add,sh.601668,中国建筑
hs300,2026-03-02,,add,sh.601669,中国电建
hs300,2026-03-02,,add,sh.601688,华泰证券
hs300,2026-03-02,,add,sh.601689,拓普集团
hs300,2026-03-02,,add,sh.601698,中国卫通
hs300,2026-03-02,,add,sh.601728,中国电信
hs300,2026-03-02,,add,sh.601766,中国中车
hs300,2026-03-02,,add,sh.601788,光大证券
hs300,2026-03-02,,add,sh.601800,中国交建
hs300,2026-03-02,,add,sh.601808,中海油服
hs300,2026-03-02,,add,sh.601816,京沪高铁
hs300,2026-03-02,,add,sh.601818,光大银行
hs300,2026-03-02,,add,sh.601825,沪农商行
hs300,2026-03-02,,add,sh.601838,成都银行
hs300,2026-03-02,,add,sh.601857,中国石油
hs300,2026-03-02,,add,sh.601868,中国能建
hs300,2026-03-02,,add,sh.601872,招商轮船
hs300,2026-03-02,,add,sh.601877,正泰电器
hs300,2026-03-02,,add,sh.601878,浙商证券
hs300,2026-03-02,,add,sh.601881,中国银河
hs300,2026-03-02,,add,sh.601888,中国中免
hs300,2026-03-02,,add,sh.601898,中煤能源
hs300,2026-03-02,,add,sh.601899,紫金矿业
hs300,2026-03-02,,add,sh.601901,方正证券
hs300,2026-03-02,,add,sh.601916,浙商银行
hs300,2026-03-02,,add,sh.601919,中远海控
hs300,2026-03-02,,add,sh.601939,建设银行
hs300,2026-03-02,,add,sh.601985,中国核电
hs300,2026-03-02,,add,sh.601988,中国银行
hs300,2026-03-02,,add,sh.601995,中金公司
hs300,2026-03-02,,add,sh.601998,中信银行
hs300,2026-03-02,,add,sh.603019,中科曙光
hs300,2026-03-02,,add,sh.603195,公牛集团
hs300,2026-03-02,,add,sh.603259,药明康德
hs300,2026-03-02,,add,sh.603260,合盛硅业
hs300,2026-03-02,,add,sh.603288,海天味业
hs300,2026-03-02,,add,sh.603296,华勤技术
hs300,2026-03-02,,add,sh.603369,今世缘
hs300,2026-03-02,,add,sh.603392,万泰生物
hs300,2026-03-02,,add,sh.603501,豪威集团
hs300,2026-03-02,,add,sh.603799,华友钴业
hs300,2026-03-02,,add,sh.603893,瑞芯微
hs300,2026-03-02,,add,sh.603986,兆易创新
hs300,2026-03-02,,add,sh.603993,洛阳钼业
hs300,2026-03-02,,add,sh.605117,德业股份
hs300,2026-03-02,,add,sh.605499,东鹏饮料
hs300,2026-03-02,,add,sh.688008,澜起科技
hs300,2026-03-02,,add,sh.688009,中国通号
hs300,2026-03-02,,add,sh.688012,中微公司
hs300,2026-03-02,,add,sh.688036,传音控股
hs300,2026-03-02,,add,sh.688041,海光信息
hs300,2026-03-02,,add,sh.688047,龙芯中科
hs300,2026-03-02,,add,sh.688082,盛美上海
hs300,2026-03-02,,add,sh.688111,金山办公
hs300,2026-03-02,,add,sh.688126,沪硅产业
hs300,2026-03-02,,add,sh.688169,石头科技
hs300,2026-03-02,,add,sh.688187,时代电气
hs300,2026-03-02,,add,sh.688223,晶科能源
hs300,2026-03-02,,add,sh.688256,寒武纪
hs300,2026-03-02,,add,sh.688271,联影医疗
hs300,2026-03-02,,add,sh.688303,大全能源
hs300,2026-03-02,,add,sh.688396,华润微
hs300,2026-03-02,,add,sh.688472,阿特斯
hs300,2026-03-02,,add,sh.688506,百利天恒
hs300,2026-03-02,,add,sh.688981,中芯国际
hs300,2026-03-02,,add,sz.000001,平安银行
hs300,2026-03-02,,add,sz.000002,万科A
hs300,2026-03-02,,add,sz.000063,中兴通讯
hs300,2026-03-02,,add,sz.000100,TCL科技
hs300,2026-03-02,,add,sz.000157,中联重科
hs300,2026-03-02,,add,sz.000166,申万宏源
hs300,2026-03-02,,add,sz.000301,东方盛虹
hs300,2026-03-02,,add,sz.000333,美的集团
hs300,2026-03-02,,add,sz.000338,潍柴动力
hs300,2026-03-02,,add,sz.000408,藏格矿业
hs300,2026-03-02,,add,sz.000425,徐工机械
hs300,2026-03-02,,add,sz.000538,云南白药
hs300,2026-03-02,,add,sz.000568,泸州老窖
hs300,2026-03-02,,add,sz.000596,古井贡酒
hs300,2026-03-02,,add,sz.000617,中油资本
hs300,2026-03-02,,add,sz.000625,长安汽车
hs300,2026-03-02,,add,sz.000630,铜陵有色
hs300,2026-03-02,,add,sz.000651,格力电器
hs300,2026-03-02,,add,sz.000661,长春高新
hs300,2026-03-02,,add,sz.000708,中信特钢
hs300,2026-03-02,,add,sz.000725,京东方A
hs300,2026-03-02,,add,sz.000768,中航西飞
hs300,2026-03-02,,add,sz.000776,广发证券
hs300,2026-03-02,,add,sz.000786,北新建材
hs300,2026-03-02,,add,sz.000792,盐湖股份
hs300,2026-03-02,,add,sz.000807,云铝股份
hs300,2026-03-02,,add,sz.000858,五粮液
hs300,2026-03-02,,add,sz.000876,新希望
hs300,2026-03-02,,add,sz.000895,双汇发展
hs300,2026-03-02,,add,sz.000938,紫光股份
hs300,2026-03-02,,add,sz.000963,华东医药
hs300,2026-03-02,,add,sz.000975,山金国际
hs300,2026-03-02,,add,sz.000977,浪潮信息
hs300,2026-03-02,,add,sz.000983,山西焦煤
hs300,2026-03-02,,add,sz.000999,华润三九
hs300,2026-03-02,,add,sz.001391,国货航
hs300,2026-03-02,,add,sz.001965,招商公路
hs300,2026-03-02,,add,sz.001979,招商蛇口
hs300,2026-03-02,,add,sz.002001,新和成
hs300,2026-03-02,,add,sz.002027,分众传媒
hs300,2026-03-02,,add,sz.002028,思源电气
hs300,2026-03-02,,add,sz.002049,紫光国微
hs300,2026-03-02,,add,sz.002050,三花智控
hs300,2026-03-02,,add,sz.002074,国轩高科
hs300,2026-03-02,,add,sz.002142,宁波银行
hs300,2026-03-02,,add,sz.002179,中航光电
hs300,2026-03-02,,add,sz.002230,科大讯飞
hs300,2026-03-02,,add,sz.002236,大华股份
hs300,2026-03-02,,add,sz.002241,歌尔股份
hs300,2026-03-02,,add,sz.002252,上海莱士
hs300,2026-03-02,,add,sz.002304,洋河股份
hs300,2026-03-02,,add,sz.002311,海大集团
hs300,2026-03-02,,add,sz.002352,顺丰控股
hs300,2026-03-02,,add,sz.002371,北方华创
hs300,2026-03-02,,add,sz.002384,东山精密
hs300,2026-03-02,,add,sz.002415,海康威视
hs300,2026-03-02,,add,sz.002422,科伦药业
hs300,2026-03-02,,add,sz.002459,晶澳科技
hs300,2026-03-02,,add,sz.002460,赣锋锂业
hs300,2026-03-02,,add,sz.002463,沪电股份
hs300,2026-03-02,,add,sz.002466,天齐锂业
hs300,2026-03-02,,add,sz.002475,立讯精密
hs300,2026-03-02,,add,sz.002493,荣盛石化
hs300,2026-03-02,,add,sz.002594,比亚迪
hs300,2026-03-02,,add,sz.002600,领益智造
hs300,2026-03-02,,add,sz.002601,龙佰集团
hs300,2026-03-02,,add,sz.002625,光启技术
hs300,2026-03-02,,add,sz.002648,卫星化学
hs300,2026-03-02,,add,sz.002709,天赐材料
hs300,2026-03-02,,add,sz.002714,牧原股份
hs300,2026-03-02,,add,sz.002736,国信证券
hs300,2026-03-02,,add,sz.002916,深南电路
hs300,2026-03-02,,add,sz.002920,德赛西威
hs300,2026-03-02,,add,sz.002938,鹏鼎控股
hs300,2026-03-02,,add,sz.003816,中国广核
hs300,2026-03-02,,add,sz.300014,亿纬锂能
hs300,2026-03-02,,add,sz.300015,爱尔眼科
hs300,2026-03-02,,add,sz.300033,同花顺
hs300,2026-03-02,,add,sz.300059,东方财富
hs300,2026-03-02,,add,sz.300122,智飞生物
hs300,2026-03-02,,add,sz.300124,汇川技术
hs300,2026-03-02,,add,sz.300251,光线传媒
hs300,2026-03-02,,add,sz.300274,阳光电源
hs300,2026-03-02,,add,sz.300308,中际旭创
hs300,2026-03-02,,add,sz.300316,晶盛机电
hs300,2026-03-02,,add,sz.300347,泰格医药
hs300,2026-03-02,,add,sz.300394,天孚通信
hs300,2026-03-02,,add,sz.300408,三环集团
hs300,2026-03-02,,add,sz.300413,芒果超媒
hs300,2026-03-02,,add,sz.300418,昆仑万维
hs300,2026-03-02,,add,sz.300433,蓝思科技
hs300,2026-03-02,,add,sz.300442,润泽科技
hs300,2026-03-02,,add,sz.300476,胜宏科技
hs300,2026-03-02,,add,sz.300498,温氏股份
hs300,2026-03-02,,add,sz.300502,新易盛
hs300,2026-03-02,,add,sz.300628,亿联网络
hs300,2026-03-02,,add,sz.300661,圣邦股份
hs300,2026-03-02,,add,sz.300750,宁德时代
hs300,2026-03-02,,add,sz.300759,康龙化成
hs300,2026-03-02,,add,sz.300760,迈瑞医疗
hs300,2026-03-02,,add,sz.300782,卓胜微
hs300,2026-03-02,,add,sz.300803,指南针
hs300,2026-03-02,,add,sz.300832,新产业
hs300,2026-03-02,,add,sz.300866,安克创新
hs300,2026-03-02,,add,sz.300896,爱美客
hs300,2026-03-02,,add,sz.300979,华利集团
hs300,2026-03-02,,add,sz.300999,金龙鱼
hs300,2026-03-02,,add,sz.301236,软通动力
hs300,2026-03-02,,add,sz.301269,华大九天
hs300,2026-03-02,,add,sz.302132,中航成飞
