from,to,shift_score
2026-03-26,2026-03-27,0.23500615425398239
2026-03-20,2026-03-23,0.23114000616860556
2026-03-27,2026-03-30,0.21508165923695316
2026-03-23,2026-03-24,0.15581907878607845
2026-03-18,2026-03-19,0.1508390057376199
