model,exposure_type,name,weight
tucker,industry,J66货币金融服务,0.2
tucker,industry,D44电力、热力生产和供应业,0.15
tucker,industry,C35专用设备制造业,0.15
tucker,industry,C26化学原料和化学制品制造业,0.1
tucker,industry,C37铁路、船舶、航空航天和其他运输设备制造业,0.05
tucker,industry,G55水上运输业,0.05
tucker,industry,C32有色金属冶炼和压延加工业,0.05
tucker,industry,C39计算机、通信和其他电子设备制造业,0.05
tucker,industry,J68保险业,0.05
tucker,industry,B11开采专业及辅助性活动,0.05
tucker,industry,B06煤炭开采和洗选业,0.05
tucker,industry,C28化学纤维制造业,0.05
tucker,style,quality_factor,0.7
tucker,style,value_factor,0.3
