left,right,score
quality_factor,value_factor,0.7143411585515299
momentum_factor,volatility_factor,0.06151787998563739
momentum_factor,value_factor,-0.0013264397026966817
value_factor,volatility_factor,-0.6455961040147017
quality_factor,volatility_factor,-0.6509158084890265
