model,exposure_type,name,weight
cp,industry,J66货币金融服务,0.32916666666666666
cp,industry,I65软件和信息技术服务业,0.10625
cp,industry,C39计算机、通信和其他电子设备制造业,0.08229166666666667
cp,industry,E48土木工程建筑业,0.07604166666666666
cp,industry,C27医药制造业,0.07083333333333333
cp,industry,K70房地产业,0.06354166666666666
cp,industry,C36汽车制造业,0.05625
cp,industry,C38电气机械和器材制造业,0.04375
cp,industry,C28化学纤维制造业,0.03125
cp,industry,C31黑色金属冶炼和压延加工业,0.030208333333333334
cp,industry,A03畜牧业,0.028125
cp,industry,P83教育,0.019791666666666666
cp,industry,F52零售业,0.01875
cp,industry,C35专用设备制造业,0.014583333333333334
cp,industry,I64互联网和相关服务,0.011458333333333333
cp,industry,J67资本市场服务,0.007291666666666667
cp,industry,C26化学原料和化学制品制造业,0.005208333333333333
cp,industry,N77生态保护和环境治理业,0.003125
cp,industry,F51批发业,0.0010416666666666667
cp,industry,C34通用设备制造业,0.0010416666666666667
cp,style,value_factor,0.5583333333333333
cp,style,volatility_factor,0.18229166666666666
cp,style,quality_factor,0.15416666666666667
cp,style,momentum_factor,0.10520833333333333
