model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,20,48,0.008622520582061604,0.47558841091714066,0.49922730764490464,4.352476624185527,-0.16596652280751734,0.28229166666666666
pca,20,48,0.009153447072158217,0.48764217025944934,0.6585277920453532,3.502765851414529,-0.22370306054210198,0.178125
tucker,20,48,0.007346503267356373,0.3665205789118393,0.645333831482429,2.8687769539697743,-0.32894553323343056,0.030208333333333337
