trade_date,model,top_n,gross_return,transaction_cost,net_return,cumulative_nav,drawdown
2018-10-24,cp,5,-0.020636763031652405,0.001,-0.021636763031652406,0.9783632369683476,-0.021636763031652406
2018-10-25,cp,5,-0.007817770599460871,0.0,-0.007817770599460871,0.9707146176187831,-0.029285382381216918
2018-10-26,cp,5,0.04587320266166024,0.0,0.04587320266166024,1.0152444059994454,0.0
2018-10-29,cp,5,0.09008736640930434,0.0,0.09008736640930434,1.106705100797714,0.0
2018-10-30,cp,5,0.06439152445740914,0.0,0.06439152445740914,1.1779675293628695,0.0
2018-10-31,cp,5,0.039662220695816354,0.0,0.039662220695816354,1.2246883374849653,0.0
2018-11-01,cp,5,0.02856117375091407,0.0,0.02856117375091407,1.2596668738825916,0.0
2018-11-02,cp,5,-0.03612501880571508,0.0,-0.03612501880571508,1.2141613843746466,-0.03612501880571506
2018-11-05,cp,5,-0.009028103337563454,0.0,-0.009028103337563454,1.2031998099280332,-0.044826981740429095
2018-11-06,cp,5,0.007868280504705028,0.0,0.007868280504705028,1.2126669235357548,-0.03731141250223702
2018-11-07,cp,5,0.01379748046819671,0.0,0.01379748046819671,1.2293986717276675,-0.024028735519280864
2018-11-08,cp,5,0.028793375693645772,0.0,0.028793375693645772,1.2647972095599913,0.0
2018-11-09,cp,5,0.04540072975448432,0.0,0.04540072975448432,1.3222199258654503,0.0
2018-11-12,cp,5,0.03025963624956658,0.0,0.03025963624956658,1.3622298198640679,0.0
2018-11-13,cp,5,-0.012493753452359879,0.0,-0.012493753452359879,1.3452104563492335,-0.012493753452359924
2018-11-14,cp,5,-0.013691575582136694,0.0,-0.013691575582136694,1.3267924057122473,-0.026014269864799155
2018-11-15,cp,5,-0.017056114720000105,0.0,-0.017056114720000105,1.3041624822307942,-0.0426266822136282
2018-11-16,cp,5,-0.041824176927165335,0.0,-0.041824176927165335,1.2496169598322024,-0.08266803324207272
2018-11-19,cp,5,-0.043880460214513174,0.0,-0.043880460214513174,1.1947831925429047,-0.12292098211289493
2018-11-20,cp,5,-0.023958368108423535,0.0,-0.023958368108423535,1.1661581370062042,-0.14393436408360893
2018-11-21,cp,5,-0.01985061858949453,0.0,-0.01985061858949453,1.1430091766134585,-0.1609277965097583
2018-11-22,cp,5,-0.03547372163281428,0.0,-0.03547372163281428,1.1024623872585204,-0.19069281028620322
2018-11-23,cp,5,-0.0063717487248662105,0.0,-0.0063717487248662105,1.095437773948293,-0.19584951234028714
2018-11-26,cp,5,0.024730810290704806,0.0,0.024730810290704806,1.1225288377210803,-0.17596221918479704
2018-11-27,cp,5,0.045420275535134544,0.0,0.045420275535134544,1.173514406826506,-0.13853419612880968
2018-11-28,cp,5,0.037370413934355695,0.0,0.037370413934355695,1.2173691259675425,-0.10634086244785079
2018-11-29,cp,5,0.019558486007189235,0.0,0.019558486007189235,1.2411790229833628,-0.08886224271084031
2018-11-30,cp,5,0.008953506942740441,0.0,0.008953506942740441,1.2522919279828282,-0.08070436447515883
2018-12-03,cp,5,-0.028786187632313533,0.0,-0.028786187632313533,1.2162432175734827,-0.10716738112894386
2018-12-04,cp,5,-0.03324917363489581,0.0,-0.03324917363489581,1.1758041356501177,-0.13685332790068638
2018-12-05,cp,5,-0.025874673074691823,0.0,-0.025874673074691823,1.1453805880403003,-0.15918696585676428
2018-12-06,cp,5,0.02674972970370688,0.0,0.02674972970370688,1.1760192091782513,-0.13669544446207904
2018-12-07,cp,5,0.014032442505811015,0.0,0.014032442505811015,1.1925216311167743,-0.12458117292148851
2018-12-10,cp,5,0.011681815724005418,0.0,0.011681815724005418,1.206452449058371,-0.11435469150223221
2018-12-11,cp,5,0.004082236868654476,0.0,0.004082236868654476,1.2113774737261955,-0.11073927757133184
2018-12-12,cp,5,-0.015072929126750201,0.0,-0.015072929126750201,1.193118466918979,-0.12414304141570176
2018-12-13,cp,5,-0.052331547701045825,0.0,-0.052331547701045825,1.1306807309544096,-0.16997799162314897
2018-12-14,cp,5,-0.037536158245401484,0.0,-0.037536158245401484,1.0882393201122786,-0.20113382907674848
2018-12-17,cp,5,-0.028711455517097972,0.0,-0.028711455517097972,1.056994385280918,-0.22407043960732576
2018-12-18,cp,5,-0.030061541211740296,0.0,-0.030061541211740296,1.0252195050072177,-0.2473960780644776
2018-12-19,cp,5,-0.015853632299673025,0.0,-0.015853632299673025,1.0089660519483805,-0.2593275839101351
2018-12-20,cp,5,-0.004663375857325791,0.0,-0.004663375857325791,1.004260864020863,-0.26278161777351583
2018-12-21,cp,5,-0.008056212213213265,0.0,-0.008056212213213265,0.996170325382886,-0.2687208055082142
2018-12-24,cp,5,-0.01671310988540433,0.0,-0.01671310988540433,0.9795212212701828,-0.2809427550426654
2018-12-25,cp,5,-0.0121476190952166,0.0,-0.0121476190952166,0.9676223705785113,-0.28967758856206294
2018-12-26,cp,5,0.00035308658752795095,0.0,0.00035308658752795095,0.9679640250593545,-0.28942678324576376
2018-12-27,cp,5,0.007482398582145477,0.0,0.007482398582145477,0.9752067177080265,-0.2841099912162113
2018-12-28,cp,5,0.007522104730110812,0.0,0.007522104730110812,0.9825423247721339,-0.2787249915948997
