model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,5,48,0.0010213414308549377,0.02739098125713202,0.48335127574841946,0.5324865237542221,-0.28967758856206327,0.020833333333333332
pca,5,48,0.0011855284472752515,0.040710496891858794,0.42292050074771487,0.7064050292789634,-0.313362384503035,0.15416666666666665
tucker,5,48,-9.693157611605594e-05,-0.024510361427544147,0.4603364843606699,-0.05306283123565747,-0.32649424130793414,0.020833333333333332
