model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,20,48,-0.005681381579701002,-0.24614887661718232,0.30649166479167006,-4.671279263198953,-0.28764639082016585,0.047916666666666684
pca,20,48,-0.004463203939872363,-0.20233790116075567,0.3444423831361135,-3.2653571334842857,-0.24305967193584554,0.09375000000000001
tucker,20,48,-0.007596363844753495,-0.31502368265645053,0.3578445061115926,-5.349484639791894,-0.33601823201412184,0.020833333333333332
