from,to,shift_score
2020-11-26,2020-11-27,0.054752773456513526
2020-12-04,2020-12-07,0.051630709334288254
2020-12-02,2020-12-03,0.042620568537666
2020-12-22,2020-12-23,0.04100538425019289
2020-12-21,2020-12-22,0.03702623876611807
