from,to,shift_score
2022-11-28,2022-11-29,0.14311523953259622
2022-11-17,2022-11-18,0.11692336100949935
2022-12-08,2022-12-09,0.1003577268226087
2022-12-09,2022-12-12,0.09160446310319653
2022-12-26,2022-12-27,0.08000103211226507
