from,to,shift_score
2015-11-23,2015-11-24,0.06650488550664821
2015-11-11,2015-11-12,0.064540315027564
2015-11-17,2015-11-18,0.06420390258024145
2015-11-12,2015-11-13,0.06197772085143588
2015-11-16,2015-11-17,0.058669131218809366
