from,to,shift_score
2025-11-26,2025-11-27,2653718.536325713
2025-12-22,2025-12-23,2125969.907510602
2025-11-06,2025-11-07,1756649.657308856
2025-11-24,2025-11-25,1633386.330556847
2025-12-17,2025-12-18,1496271.0492726788
