from,to,shift_score
2025-11-05,2025-11-06,0.0406472744740719
2025-11-20,2025-11-21,0.016454197173988997
2025-12-18,2025-12-19,0.014402230677925364
2025-12-05,2025-12-08,0.013930191226712133
2025-11-10,2025-11-11,0.013425168995521266
