left,right,score
600021.SH,600115.SH,0.9938179452861664
600015.SH,600048.SH,0.9716965584552351
600009.SH,600085.SH,0.8974642420757091
600026.SH,600039.SH,0.8752647891662397
600010.SH,600029.SH,0.809165767670235
