trade_date,model,top_n,gross_return,transaction_cost,net_return,cumulative_nav,drawdown
2021-10-27,pca,5,-0.04218177032351207,0.0001,-0.042281770323512075,0.9577182296764879,-0.0422817703235121
2021-10-28,pca,5,-0.0706111272464062,0.0,-0.0706111272464062,0.8900926658945986,-0.10990733410540143
2021-10-29,pca,5,-0.0633982830929343,1.9999999999999995e-05,-0.0634182830929343,0.8336445172299504,-0.16635548277004963
2021-11-01,pca,5,-0.032424211921606896,0.0,-0.032424211921606896,0.8066142507360008,-0.1933857492639992
2021-11-02,pca,5,-0.025802268334372512,1.9999999999999995e-05,-0.02582226833437251,0.785785641111167,-0.214214358888833
2021-11-03,pca,5,0.012491837685243045,1.9999999999999995e-05,0.012471837685243046,0.7955858320825001,-0.2044141679174999
2021-11-04,pca,5,-0.0072678468583578845,1.9999999999999995e-05,-0.0072878468583578845,0.7897877243756036,-0.21021227562439637
2021-11-05,pca,5,-0.01829041416702091,1.9999999999999995e-05,-0.018310414167020908,0.7753263840382574,-0.22467361596174262
2021-11-08,pca,5,-0.011989189306280078,1.9999999999999995e-05,-0.012009189306280078,0.7660153427181884,-0.23398465728181161
2021-11-09,pca,5,0.002476700550721267,0.0,0.002476700550721267,0.7679125333393595,-0.2320874666606405
2021-11-10,pca,5,-0.013817923431082258,4e-05,-0.013857923431082258,0.7572708602505742,-0.24272913974942578
2021-11-11,pca,5,0.01327038719516489,1.9999999999999995e-05,0.01325038719516489,0.7673049923605099,-0.23269500763949014
2021-11-12,pca,5,-0.0004955059132484951,0.0,-0.0004955059132484951,0.7669247881995301,-0.23307521180046986
2021-11-15,pca,5,0.017814595291918468,0.0,0.017814595291918468,0.7805872429206451,-0.21941275707935493
2021-11-16,pca,5,0.021238980590990275,0.0,0.021238980590990275,0.7971661202226112,-0.20283387977738876
2021-11-17,pca,5,0.022930550506241286,1.9999999999999995e-05,0.022910550506241287,0.8154296348818357,-0.18457036511816427
2021-11-18,pca,5,-0.0021958951806548164,0.0,-0.0021958951806548164,0.8136390368764356,-0.18636096312356443
2021-11-19,pca,5,0.01694452327194349,0.0,0.01694452327194349,0.8274257624717499,-0.17257423752825007
2021-11-22,pca,5,0.0023650011774225322,0.0,0.0023650011774225322,0.8293826253742254,-0.17061737462577464
2021-11-23,pca,5,0.021066330283042722,0.0,0.021066330283042722,0.8468546736913759,-0.1531453263086241
2021-11-24,pca,5,0.03416005681226195,0.0,0.03416005681226195,0.8757832774564028,-0.12421672254359717
2021-11-25,pca,5,0.09567363416562884,0.0,0.09567363416562884,0.9595726463521421,-0.04042735364785788
2021-11-26,pca,5,0.0921346360552862,0.0,0.0921346360552862,1.0479825228924045,0.0
2021-11-29,pca,5,0.08728640488361586,1.9999999999999995e-05,0.08726640488361585,1.139436190046086,0.0
2021-11-30,pca,5,0.05856166502313007,0.0,0.05856166502313007,1.2061634705227964,0.0
2021-12-01,pca,5,0.05421832604450394,1.9999999999999995e-05,0.05419832604450394,1.2715355115611615,0.0
2021-12-02,pca,5,0.031059974349851815,1.9999999999999995e-05,0.031039974349851816,1.3110039412249455,0.0
2021-12-03,pca,5,0.04754762062134747,1.9999999999999995e-05,0.04752762062134747,1.373312839176576,0.0
2021-12-06,pca,5,0.005687760050612334,1.9999999999999995e-05,0.005667760050612334,1.3810964468234541,0.0
2021-12-07,pca,5,0.013705377941109199,0.0,0.013705377941109199,1.4000248956002925,0.0
2021-12-08,pca,5,0.014573657051603605,0.0,0.014573657051603605,1.4204283782924783,0.0
2021-12-09,pca,5,0.020365137143582613,0.0,0.020365137143582613,1.4493555970190413,0.0
2021-12-10,pca,5,0.0029238604349252294,0.0,0.0029238604349252294,1.4535933105053027,0.0
2021-12-13,pca,5,0.03302593926047317,0.0,0.03302593926047317,1.5015995948874812,0.0
2021-12-14,pca,5,0.01148415493411219,0.0,0.01148415493411219,1.5188441972841693,0.0
2021-12-15,pca,5,0.01265665549855457,0.0,0.01265665549855457,1.5380676850451735,0.0
2021-12-16,pca,5,0.015936595709215483,0.0,0.015936595709215483,1.5625792479151475,0.0
2021-12-17,pca,5,0.016578676001814396,0.0,0.016578676001814396,1.5884847429934916,0.0
2021-12-20,pca,5,-0.00604262110527054,0.0,-0.00604262110527054,1.5788861315600788,-0.00604262110527054
2021-12-21,pca,5,-0.012790739179790433,0.0,-0.012790739179790433,1.5586910108567056,-0.018756070694541216
2021-12-22,pca,5,-0.023564970680148754,0.0,-0.023564970680148754,1.521960502886456,-0.04187905511869827
2021-12-23,pca,5,-0.009254535173578281,0.0,-0.009254535173578281,1.5078754658796965,-0.05074601910364429
2021-12-24,pca,5,-0.006805231233244858,0.0,-0.006805231233244858,1.4976140246634484,-0.057205911942722065
2021-12-27,pca,5,0.0054402369491249655,0.0,0.0054402369491249655,1.50576139981595,-0.05207688870945648
2021-12-28,pca,5,0.01298380686316698,0.0,0.01298380686316698,1.5253119150131722,-0.03976923811132771
2021-12-29,pca,5,0.016030003352137622,0.0,0.016030003352137622,1.549762670123889,-0.02437673577942656
2021-12-30,pca,5,0.0007946868662511042,0.0,0.0007946868662511042,1.5509942461636428,-0.023601420784941318
2021-12-31,pca,5,-0.006677781195759036,1.9999999999999995e-05,-0.0066977811957590365,1.5406060260669574,-0.030141124828373833
