model,exposure_type,name,weight
cp,industry,J66货币金融服务,0.21666666666666667
cp,industry,C39计算机、通信和其他电子设备制造业,0.14166666666666666
cp,industry,J67资本市场服务,0.1125
cp,industry,C35专用设备制造业,0.10416666666666667
cp,industry,I63电信、广播电视和卫星传输服务,0.10416666666666667
cp,industry,C32有色金属冶炼和压延加工业,0.0875
cp,industry,C38电气机械和器材制造业,0.075
cp,industry,D44电力、热力生产和供应业,0.05416666666666667
cp,industry,C36汽车制造业,0.0375
cp,industry,C31黑色金属冶炼和压延加工业,0.03333333333333333
cp,industry,B07石油和天然气开采业,0.016666666666666666
cp,industry,G55水上运输业,0.016666666666666666
cp,style,value_factor,0.5375
cp,style,momentum_factor,0.25416666666666665
cp,style,quality_factor,0.1125
cp,style,volatility_factor,0.09583333333333334
