from,to,shift_score
2023-11-17,2023-11-20,0.5175404905036576
2023-10-27,2023-10-30,0.43494379513222814
2023-11-20,2023-11-21,0.37856737077122526
2023-11-23,2023-11-24,0.3724687911412397
2023-11-02,2023-11-03,0.33785449306192994
