trade_date,model,cumulative_nav,drawdown
2019-10-24,pca,0.9964696280875116,-0.0035303719124883948
2019-10-25,pca,0.9985652806397097,-0.0014347193602902708
2019-10-28,pca,0.9975614229699096,-0.0024385770300904275
2019-10-29,pca,1.0102627489611236,0.0
2019-10-30,pca,1.0124485160311043,0.0
2019-10-31,pca,1.0198952395435066,0.0
2019-11-01,pca,1.0151006099405344,-0.004701100090552579
2019-11-04,pca,0.9898469986919246,-0.029462085601096866
2019-11-05,pca,0.9633741509204793,-0.05541852381654955
2019-11-06,pca,0.9414693608960952,-0.07689601402837598
2019-11-07,pca,0.9229075862144225,-0.09509570156685376
2019-11-08,pca,0.8951047152656672,-0.1223562180108756
2019-11-11,pca,0.8979501254300176,-0.11956631366185233
2019-11-12,pca,0.9227102552737229,-0.09528918314520485
2019-11-13,pca,0.9355046189376957,-0.08274440092845536
2019-11-14,pca,0.9421962132308501,-0.0761833405041028
2019-11-15,pca,0.9533436259716989,-0.06525338190772956
2019-11-18,pca,0.9572998549091215,-0.061374327683304086
2019-11-19,pca,0.9424048867076846,-0.0759787376500608
2019-11-20,pca,0.9396693442300713,-0.07866091751672799
2019-11-21,pca,0.9295497596870099,-0.08858309790418695
2019-11-22,pca,0.9248792559561062,-0.09316249346347416
2019-11-25,pca,0.917175938943205,-0.10071554079052036
2019-11-26,pca,0.9126803071729289,-0.10512347564105295
2019-11-27,pca,0.9048138073383465,-0.11283652255958099
2019-11-28,pca,0.9144940343735185,-0.10334512907145688
2019-11-29,pca,0.9347968987905266,-0.08343831547941039
2019-12-02,pca,0.9560162097207383,-0.0626329326248839
2019-12-03,pca,0.99032841673208,-0.028990058650200434
2019-12-04,pca,1.0184742121027357,-0.0013933072590934792
2019-12-05,pca,1.026239709582681,0.0
2019-12-06,pca,1.038575092273333,0.0
2019-12-09,pca,1.0595560181968589,0.0
2019-12-10,pca,1.0855453491674985,0.0
2019-12-11,pca,1.1178384361181744,0.0
2019-12-12,pca,1.156299201285528,0.0
2019-12-13,pca,1.1682779808454893,0.0
2019-12-16,pca,1.151583666005216,-0.014289676869704948
2019-12-17,pca,1.151966827772819,-0.01396170546744857
2019-12-18,pca,1.161830430166821,-0.005518849780941859
2019-12-19,pca,1.1862236410400213,0.0
2019-12-20,pca,1.2197325133797965,0.0
2019-12-23,pca,1.2803877727822934,0.0
2019-12-24,pca,1.321674457639385,0.0
2019-12-25,pca,1.3807836717733375,0.0
2019-12-26,pca,1.4336591796366036,0.0
2019-12-27,pca,1.5109858188130083,0.0
2019-12-30,pca,1.6265996006996402,0.0
2019-12-31,pca,1.727662225192551,0.0
