from,to,shift_score
2019-10-25,2019-10-28,3153254.232419297
2019-11-25,2019-11-26,2753822.9817134137
2019-12-13,2019-12-16,2370895.4427429116
2019-12-30,2019-12-31,2124636.4087038026
2019-11-06,2019-11-07,1901149.0545873544
