trade_date,model,portfolio_return,benchmark_return,excess_return,cumulative_nav,drawdown
2019-10-24,cp,-0.009329624582375073,-0.0013542430984326836,-0.00797538148394239,0.9920246185160576,-0.00797538148394239
2019-10-25,cp,-0.00306119330685799,0.006378771448618981,-0.009439964755476971,0.9826599410807005,-0.01734005891929946
2019-10-28,cp,-0.003692913916448104,0.011373800116907029,-0.015066714033355133,0.967854484756404,-0.03214551524359599
2019-10-29,cp,0.006590132244405522,-0.0051505951386180415,0.011740727383023564,0.9792178004083658,-0.020782199591634187
2019-10-30,cp,0.005845275926776061,-0.005634558626241071,0.011479834553017132,0.9904590587484232,-0.009540941251576784
2019-10-31,cp,0.014892247307996608,-0.0017503930171989257,0.016642640325195534,1.006942912620005,0.0
2019-11-01,cp,-0.004703427430034446,0.016239505081749872,-0.020942932511784317,0.9858545751577845,-0.020942932511784362
2019-11-04,cp,-0.022793399148605543,0.00750544115572227,-0.030298840304327813,0.9559843248217879,-0.05060722624843339
2019-11-05,cp,-0.0325390004805076,0.005610677734976033,-0.03814967821548363,0.9195138304507903,-0.08682625506716113
2019-11-06,cp,-0.03729669816309957,-0.004652521904292328,-0.03264417625880724,0.8894970588971437,-0.11663605975166369
2019-11-07,cp,-0.03791101477298815,0.0024449316978742974,-0.04035594647086245,0.8536005632023009,-0.15228504763861572
2019-11-08,cp,-0.0341511138276525,-0.003592101951632398,-0.0305590118760201,0.8275153734540244,-0.1781903789353071
2019-11-11,cp,-0.011017890896714854,-0.018741676234213522,0.007723785337498668,0.8339069245620634,-0.17184289783391227
2019-11-12,cp,-0.0019343264348659294,-0.00044227286129483456,-0.0014920535735710948,0.8326626907552449,-0.17307855259767735
2019-11-13,cp,-0.0037637654841424784,0.0008521616578758273,-0.004615927142018306,0.8288191804408418,-0.1768955617510588
2019-11-14,cp,-0.002925116168195374,0.0027367588821860522,-0.005661875050381427,0.8241265098018262,-0.18155587623383873
2019-11-15,cp,0.006186707081042742,-0.0072897688968305285,0.01347647597787327,0.8352328309138992,-0.17052613366067237
2019-11-18,cp,0.019049703787048268,0.007719276808331843,0.011330426978716425,0.8446963755147958,-0.16112784058736096
2019-11-19,cp,0.007716585156248334,0.012379821986134854,-0.004663236829886519,0.8407573562664236,-0.16503970013670044
2019-11-20,cp,0.010736024093286268,-0.008660561278077794,0.019396585371364062,0.8570651781038475,-0.1488443213987023
2019-11-21,cp,0.009011191552043153,-0.004649249986059312,0.013660441538102464,0.8687730668636786,-0.13721715901134524
2019-11-22,cp,0.00228673935710797,-0.011372787943724316,0.013659527300832286,0.8806400962887307,-0.1254319532401711
2019-11-25,cp,-0.013806470953072992,0.005534580502881914,-0.019341051455954904,0.8636075908722334,-0.1423470188342869
2019-11-26,cp,-0.012563802615762908,0.002467929827197901,-0.01503173244296081,0.8506260726305319,-0.15523902897607766
2019-11-27,cp,-0.010877514909760567,-0.0021877942630131875,-0.00868972064674738,0.8432343696845328,-0.16257976582755052
2019-11-28,cp,-0.0008060164211026288,-0.0033757453401568327,0.0025697289190542037,0.8454012534298516,-0.1604278228343965
2019-11-29,cp,0.00491012872457246,-0.008201779800349529,0.01311190852492199,0.8564860773316783,-0.14941942924733143
2019-12-02,cp,0.010210558157459282,0.0007457369496033373,0.009464821207855944,0.8645925649206404,-0.14136883622228147
2019-12-03,cp,0.010231696812701686,0.004043913483034123,0.006187783329667563,0.8699424763808108,-0.13605581262072464
2019-12-04,cp,0.016487561332837818,0.0005341804584497734,0.015953380874388044,0.8838210000453223,-0.12227298194524938
2019-12-05,cp,0.003393238539017518,0.008806909455143286,-0.005413670916125768,0.8790362840023157,-0.1270247071751901
2019-12-06,cp,0.023948783814346307,0.006437456677719888,0.01751132713662642,0.8944293759364448,-0.11173775124034258
2019-12-09,cp,0.023011666381644202,-0.0017055197879852768,0.02471718616962948,0.9165371533370513,-0.08978240787029645
2019-12-10,cp,0.04173476855822851,0.00331664522384445,0.03841812333438406,0.9517487907344995,-0.05481355615473138
2019-12-11,cp,0.031277240788640935,-0.0010081979970776311,0.032285438785718566,0.9824764180571398,-0.024297797080873984
2019-12-12,cp,0.0378033758287565,-0.0025114118087513626,0.040314787637507864,1.0220847462099727,0.0
2019-12-13,cp,0.011259684936644865,0.017950517184706083,-0.006690832248061218,1.0152461486297795,-0.006690832248061329
2019-12-16,cp,-0.007618421827767841,0.00759406124257711,-0.015212483070344951,0.999801733781516,-0.021801531146106057
2019-12-17,cp,-0.016785605341451727,0.012146199880447295,-0.02893180522189902,0.9708756647592324,-0.050102578715346735
2019-12-18,cp,-0.01758080861733615,-0.0024858696164753447,-0.015094939000860806,0.9562203558222716,-0.06444122234671346
2019-12-19,cp,-0.007616770959729413,-0.000493010062808219,-0.007123760896921194,0.9494084706426248,-0.07110591938373145
2019-12-20,cp,-0.003458367055237499,-0.005716332087812637,0.0022579650325751377,0.9515522017709664,-0.06900850903073386
2019-12-23,cp,0.036334109038307895,-0.012565324054882199,0.048899433093190094,0.9980825649961435,-0.023483552907753058
2019-12-24,cp,0.027357112492851422,0.009534165622863577,0.017822946869987845,1.0158713375239308,-0.006079152153558809
2019-12-25,cp,0.0,0.001408892383345961,-0.001408892383345961,1.0144400841340337,-0.0074794796657384754
2019-12-26,cp,0.0,0.007127588601304247,-0.007127588601304247,1.0072095725536538,-0.014553757613033569
2019-12-27,cp,0.0,-0.002088670483503474,0.002088670483503474,1.009313301458549,-0.012495485133480422
2019-12-30,cp,0.0,0.012745655865033845,-0.012745655865033845,0.9964489414581571,-0.02508187784513627
2019-12-31,cp,0.0,0.0036741345830149097,-0.0036741345830149097,0.9927878539421371,-0.02866385823335338
