from,to,shift_score
2018-11-07,2018-11-08,0.05836150831977218
2018-11-16,2018-11-19,0.04274083711208974
2018-11-02,2018-11-05,0.0420861637873722
2018-11-14,2018-11-15,0.03671550696367236
2018-12-13,2018-12-14,0.03470985427936411
