from,to,shift_score
2024-12-16,2024-12-17,14875375.760629889
2024-11-05,2024-11-06,13123707.82466938
2024-11-01,2024-11-04,10586874.921540579
2024-11-11,2024-11-12,10531253.363507772
2024-12-13,2024-12-16,9495039.642155962
