model,exposure_type,name,weight
tucker,industry,J66货币金融服务,0.4083333333333333
tucker,industry,C39计算机、通信和其他电子设备制造业,0.1
tucker,industry,C36汽车制造业,0.07395833333333333
tucker,industry,E48土木工程建筑业,0.07395833333333333
tucker,industry,B06煤炭开采和洗选业,0.051041666666666666
tucker,industry,L72商务服务业,0.05
tucker,industry,J69其他金融业,0.05
tucker,industry,C27医药制造业,0.05
tucker,industry,A01农业,0.05
tucker,industry,G56航空运输业,0.03958333333333333
tucker,industry,I64互联网和相关服务,0.026041666666666668
tucker,industry,C31黑色金属冶炼和压延加工业,0.025
tucker,industry,K70房地产业,0.0020833333333333333
tucker,style,quality_factor,0.9520833333333333
tucker,style,value_factor,0.04791666666666667
