trade_date,model,quantile,daily_return,cumulative_nav
2020-10-27,cp,1,0.0001190275178789595,1.000119027517879
2020-10-27,cp,2,0.0007731584200504917,1.0007731584200505
2020-10-27,cp,3,0.007588417818540357,1.0075884178185404
2020-10-27,cp,4,-0.0013904578767710487,0.9986095421232289
2020-10-27,cp,5,0.014023659548836602,1.0140236595488366
2020-10-28,cp,1,0.017814911421453996,1.017936059404021
2020-10-28,cp,2,0.019592659811494443,1.0203809664614494
2020-10-28,cp,3,0.022610286826255505,1.0303702809482305
2020-10-28,cp,4,0.013168495117038097,1.0117597270025063
2020-10-28,cp,5,0.02673961308860709,1.0411382598678658
2020-10-29,cp,1,0.03390546545239121,1.0524496552988871
2020-10-29,cp,2,0.03833365936826594,1.0594959028556445
2020-10-29,cp,3,0.02844921115307142,1.0596835026367761
2020-10-29,cp,4,0.029166331238059118,1.0412690463335899
2020-10-29,cp,5,0.04243859198930338,1.0853227016828515
2020-10-30,cp,1,0.05085286613204461,1.105969736730518
2020-10-30,cp,2,0.06388000718142824,1.1271765087387569
2020-10-30,cp,3,0.05447282489056579,1.1174074565153305
2020-10-30,cp,4,0.05061710136904758,1.0939750672043087
2020-10-30,cp,5,0.048097821770872226,1.1375243595522748
2020-11-02,cp,1,0.030367776780824383,1.1395555788218974
2020-11-02,cp,2,0.02697639333643082,1.1575836655980785
2020-11-02,cp,3,0.031192766203977082,1.1522624860609938
2020-11-02,cp,4,0.020963484260908872,1.1169085963074727
2020-11-02,cp,5,0.023157121619413783,1.1638661494914726
2020-11-03,cp,1,0.034456733174873744,1.1788209413393023
2020-11-03,cp,2,0.01985960584332057,1.1805728209275224
2020-11-03,cp,3,0.00447047569133022,1.1574136474949612
2020-11-03,cp,4,0.006509500904502339,1.1241791138253827
2020-11-03,cp,5,-0.005313578525282744,1.1576818553132313
2020-11-04,cp,1,0.015341783484091098,1.1969061569878425
2020-11-04,cp,2,0.004459881413543198,1.1858380357089113
2020-11-04,cp,3,-0.006733088237425363,1.1496206792791774
2020-11-04,cp,4,-0.013381593055144447,1.1091358064030785
2020-11-04,cp,5,-0.012889155681599984,1.1427603136503355
2020-11-05,cp,1,0.0032090615170512985,1.200747102475754
2020-11-05,cp,2,0.009285454259629934,1.196849080548816
2020-11-05,cp,3,-0.005988473621171413,1.142736206166961
2020-11-05,cp,4,-0.004029665802199444,1.1046663597740212
2020-11-05,cp,5,0.0057412687195107295,1.1493212076929944
2020-11-06,cp,1,0.009670174258106526,1.212358536196611
2020-11-06,cp,2,0.0031326963738685302,1.200598445323519
2020-11-06,cp,3,-0.009567057067696576,1.1318035836692386
2020-11-06,cp,4,-0.023112288730263674,1.0791349919163147
2020-11-06,cp,5,-0.023455611217914535,1.1223631762808435
2020-11-09,cp,1,0.018852179071383205,1.2352141364197093
2020-11-09,cp,2,0.004131443840797006,1.2055586503757214
2020-11-09,cp,3,-0.014141162327444539,1.1157985654697884
2020-11-09,cp,4,-0.012328857836509534,1.0658304900145756
2020-11-09,cp,5,-0.023461442040608314,1.0960309176720175
2020-11-10,cp,1,0.01926824469429118,1.2590145446500918
2020-11-10,cp,2,0.0211206492578643,1.2310208317900915
2020-11-10,cp,3,0.02026007371013812,1.1384047266518726
2020-11-10,cp,4,-0.005772403524423231,1.0596780863375779
2020-11-10,cp,5,-0.01598678084462298,1.078508911592264
2020-11-11,cp,1,0.017163420755945246,1.2806235410177762
2020-11-11,cp,2,0.02369079386913018,1.2601846925646358
2020-11-11,cp,3,0.022413357248538504,1.163920198483746
2020-11-11,cp,4,0.002881179488355398,1.0627312091041934
2020-11-11,cp,5,-0.011871509487447876,1.0657053828159992
2020-11-12,cp,1,0.03427695936693416,1.3245194220975818
2020-11-12,cp,2,0.034787735639577995,1.3040236645066172
2020-11-12,cp,3,0.030599732758308473,1.1995358455093459
2020-11-12,cp,4,0.008421002733178263,1.0716804715206938
2020-11-12,cp,5,-0.00608910990212952,1.0592161856167417
2020-11-13,cp,1,0.029521769352075046,1.3636215789790904
2020-11-13,cp,2,0.03161888713967369,1.3452554415821156
2020-11-13,cp,3,0.013455680696014698,1.2156764168299437
2020-11-13,cp,4,0.0022231811005427858,1.0740630112907994
2020-11-13,cp,5,-0.0006190424836700409,1.058560485798454
2020-11-16,cp,1,0.02260448109841666,1.3944455371865165
2020-11-16,cp,2,0.033641817503425805,1.3905122796433118
2020-11-16,cp,3,0.023154001476944738,1.243824190380711
2020-11-16,cp,4,0.016263776705204142,1.091531332273752
2020-11-16,cp,5,0.01244698817145592,1.0717363756439582
2020-11-17,cp,1,0.007513712914195375,1.404923000627417
2020-11-17,cp,2,0.012294023719663516,1.4076072705917302
2020-11-17,cp,3,0.009837715304804656,1.2560605786549055
2020-11-17,cp,4,0.00037608048655895436,1.091941835908288
2020-11-17,cp,5,0.0028871941318116363,1.0748306866185664
2020-11-18,cp,1,0.013924766150701161,1.4244862248708952
2020-11-18,cp,2,0.014259466679610982,1.427678999564711
2020-11-18,cp,3,0.0059786499472280485,1.263570125167196
2020-11-18,cp,4,-0.011232612521795339,1.0796764763691924
2020-11-18,cp,5,-0.019353726998140242,1.0540287069405272
2020-11-19,cp,1,0.009133466855119505,1.4374967225913278
2020-11-19,cp,2,0.0035232396559271902,1.432709054831912
2020-11-19,cp,3,-5.394980270251315e-05,1.2635019558082423
2020-11-19,cp,4,-0.015693392434738242,1.0627326897229752
2020-11-19,cp,5,-0.020152946170145035,1.032786923147767
2020-11-20,cp,1,-0.011129331209938673,1.4214983454524075
2020-11-20,cp,2,-0.010685113288761776,1.417400396271198
2020-11-20,cp,3,-0.011938970474364036,1.2484170432635466
2020-11-20,cp,4,-0.017458970001127446,1.0441784715738844
2020-11-20,cp,5,-0.015479515429217975,1.0167998820358066
2020-11-23,cp,1,-0.0012343555267072563,1.4197437111134932
2020-11-23,cp,2,0.003156481958647524,1.421874395050208
2020-11-23,cp,3,0.0020125939914550427,1.250929599903649
2020-11-23,cp,4,0.000839551954235451,1.0450551136502648
2020-11-23,cp,5,-0.0005880614185041356,1.0162019412548418
2020-11-24,cp,1,0.006902157996900201,1.429543006522704
2020-11-24,cp,2,0.013363123171254548,1.440875077725317
2020-11-24,cp,3,0.030965705443425837,1.2896655174247278
2020-11-24,cp,4,0.025027648261998412,1.0712103854491064
2020-11-24,cp,5,0.017839657950935263,1.0343306362959046
2020-11-25,cp,1,0.002672500977149501,1.4333634616045132
2020-11-25,cp,2,0.008122314406280166,1.4525783181267753
2020-11-25,cp,3,0.033521359102021725,1.332896858355817
2020-11-25,cp,4,0.02829141743403353,1.1015164456235191
2020-11-25,cp,5,0.019608147104760703,1.0546119435673553
2020-11-26,cp,1,-0.005199150898099227,1.4259111886758096
2020-11-26,cp,2,0.0017033194094327048,1.4550525229697617
2020-11-26,cp,3,0.02993201833270871,1.3727931515557332
2020-11-26,cp,4,0.027654015245097266,1.1319777982035173
2020-11-26,cp,5,0.021828173907645354,1.0776321964766233
2020-11-27,cp,1,-0.012199406720928787,1.4085159181372304
2020-11-27,cp,2,0.0003451811420665189,1.4555547796614072
2020-11-27,cp,3,0.021028716909665433,1.4016612301153262
2020-11-27,cp,4,0.026028665279801765,1.1614416694171237
2020-11-27,cp,5,0.026820960181554034,1.1065353267086835
2020-11-30,cp,1,-0.025256355862045977,1.3729419388714001
2020-11-30,cp,2,-0.01746203769634583,1.4301378272298635
2020-11-30,cp,3,0.011655105725551727,1.4179977399437271
2020-11-30,cp,4,0.0004882209631785143,1.1620087095876421
2020-11-30,cp,5,0.017695821930177765,1.1261163788095714
2020-12-01,cp,1,-0.03801179242826822,1.3207539548749563
2020-12-01,cp,2,-0.024634074089630052,1.3949077060355006
2020-12-01,cp,3,-0.01637283734470256,1.3947810935924727
2020-12-01,cp,4,-0.009755236488377927,1.1506730398240599
2020-12-01,cp,5,-0.012124402978154692,1.112462890032584
2020-12-02,cp,1,-0.02720425111216198,1.284823832629157
2020-12-02,cp,2,-0.017620796704300726,1.3703283209261865
