trade_date,model,top_n,daily_return,cumulative_nav,turnover,drawdown
2020-10-27,pca,20,0.007279247668225203,1.0072792476682253,1.0,0.0
2020-10-28,pca,20,0.002915971754336827,1.0102164455031555,0.15000000000000002,0.0
2020-10-29,pca,20,0.003913843921727544,1.014170274998017,0.15000000000000002,0.0
2020-10-30,pca,20,0.03234801763936074,1.0469766729429681,0.19999999999999996,0.0
2020-11-02,pca,20,0.030358287890307267,1.078761092194607,0.25,0.0
2020-11-03,pca,20,0.015284354901021147,1.0952492595811225,0.19999999999999996,0.0
2020-11-04,pca,20,-0.002961414998130052,1.0920057719971081,0.19999999999999996,-0.002961414998130074
2020-11-05,pca,20,-0.01853771542640978,1.0717624797518288,0.25,-0.021444232556044995
2020-11-06,pca,20,-0.014923760940875946,1.055767752718612,0.35,-0.03604796489669415
2020-11-09,pca,20,-0.004652700165233043,1.0508555819210905,0.25,-0.040532944689695816
2020-11-10,pca,20,0.010666278760657788,1.062064300495054,0.09999999999999998,-0.030299001616088783
2020-11-11,pca,20,0.020307126401612825,1.0836317744918476,0.09999999999999998,-0.010607160870136578
2020-11-12,pca,20,0.031133673116803828,1.1173692119378589,0.15000000000000002,0.0
2020-11-13,pca,20,0.04772030422182122,1.17069041065963,0.19999999999999996,0.0
2020-11-16,pca,20,0.06405439510039077,1.2456782767642607,0.15000000000000002,0.0
2020-11-17,pca,20,0.050184147916905286,1.3081915796622738,0.09999999999999998,0.0
2020-11-18,pca,20,0.03726511781730319,1.3569414930059924,0.19999999999999996,0.0
2020-11-19,pca,20,0.044942599664843215,1.4179259712947754,0.15000000000000002,0.0
2020-11-20,pca,20,0.0189572934910233,1.4448060100811548,0.19999999999999996,0.0
2020-11-23,pca,20,0.0019331766169371767,1.447599075275854,0.19999999999999996,0.0
2020-11-24,pca,20,0.023328292791125756,1.481369090348052,0.15000000000000002,0.0
2020-11-25,pca,20,0.053848910100692274,1.5611392013201486,0.25,0.0
2020-11-26,pca,20,0.02624722166051985,1.6021147679801255,0.15000000000000002,0.0
2020-11-27,pca,20,0.03769689173558051,1.662509514936647,0.15000000000000002,0.0
2020-11-30,pca,20,0.01879324963771954,1.6937534712759352,0.19999999999999996,0.0
2020-12-01,pca,20,-0.03635909037488561,1.6321701357410372,0.30000000000000004,-0.036359090374885605
2020-12-02,pca,20,-0.05915542649999859,1.5356184152407155,0.09999999999999998,-0.09336367937660595
2020-12-03,pca,20,-0.057913098836162115,1.4466859941842494,0.050000000000000044,-0.14586979822132284
2020-12-04,pca,20,-0.059531383997323314,1.3605627747409175,0.19999999999999996,-0.19671735124712053
2020-12-07,pca,20,-0.038761900774792704,1.3078247754685335,0.15000000000000002,-0.2278541135721922
2020-12-08,pca,20,-0.029637043236934994,1.2690647160516377,0.19999999999999996,-0.25073823459347466
2020-12-09,pca,20,-0.02531549119691045,1.236937719404123,0.19999999999999996,-0.2697061642198051
2020-12-10,pca,20,0.0053184903319027695,1.2435163607059396,0.050000000000000044,-0.2658221035147599
2020-12-11,pca,20,0.00876740414444709,1.2544187712004806,0.25,-0.25938526918235383
2020-12-14,pca,20,0.0009064717760883245,1.2555558664119693,0.15000000000000002,-0.2587139228319123
2020-12-15,pca,20,-0.0064318297344945095,1.2474803448570617,0.050000000000000044,-0.2634817486648089
2020-12-16,pca,20,0.011379472966695342,1.2616760137178464,0.09999999999999998,-0.25510055913426233
2020-12-17,pca,20,-0.014165727481677742,1.2438034551373498,0.15000000000000002,-0.2656526016148205
2020-12-18,pca,20,-0.016514338102607447,1.2232628643460202,0.19999999999999996,-0.27777986283652367
2020-12-21,pca,20,-0.010448365828493084,1.2104817664349226,0.19999999999999996,-0.2853258830383122
2020-12-22,pca,20,0.002747476628621148,1.2138075367975745,0.15000000000000002,-0.28336233260487953
2020-12-23,pca,20,0.01751956008061868,1.2350729108648073,0.19999999999999996,-0.2708071559349162
2020-12-24,pca,20,0.02166304054289219,1.2618283454062995,0.19999999999999996,-0.2550106217903475
2020-12-25,pca,20,0.0,1.2618283454062995,0.19999999999999996,-0.2550106217903475
2020-12-28,pca,20,0.0,1.2618283454062995,0.19999999999999996,-0.2550106217903475
2020-12-29,pca,20,0.0,1.2618283454062995,0.30000000000000004,-0.2550106217903475
2020-12-30,pca,20,0.0,1.2618283454062995,0.15000000000000002,-0.2550106217903475
2020-12-31,pca,20,0.0,1.2618283454062995,0.09999999999999998,-0.2550106217903475
