model,rank,mse,rmse,explained_variance,compression_ratio,bic,ic_mean,rank_ic_mean,ir,rolling_stability
cp,3,0.878072260838092,0.9370551002145455,0.029271348012011034,44.12422360248447,10850.124666242806,0.02157236620981649,0.03835766511234467,0.16735206627664834,0.7462483191654125
tucker,"(3, 2, 2)",0.5424909588651841,0.7365398555850078,0.4002640321284744,48.936854190585535,-32358.817519678978,-0.0274383469553266,-0.023409520791471683,-0.16618839997908041,0.9871637905016541
pca,3,0.10301162026973987,0.32095423391776573,0.8861183347392163,0.32818491199433314,2755331.6446409407,0.0205103283159865,0.02803482334993875,0.16026316061653653,0.9732146141791923
