model,top_n,observation_count,mean_daily_return,cumulative_return,annualized_volatility,sharpe_ratio,max_drawdown,average_turnover
cp,20,48,-0.002994461320606365,-0.143128120960481,0.3310389259480197,-2.2795030845142765,-0.29782335836447404,0.11770833333333335
pca,20,48,-0.0016003666398702679,-0.08885923778772542,0.4119719021446809,-0.9789317940078225,-0.33764385465060764,0.096875
tucker,20,48,-0.0007281400443165959,-0.050783176491776105,0.4252465636573084,-0.4314938834300646,-0.329845223491694,0.027083333333333338
