model,exposure_type,name,weight
pca,industry,J66货币金融服务,0.5020408163265306
pca,industry,C31黑色金属冶炼和压延加工业,0.17959183673469387
pca,industry,B07石油和天然气开采业,0.07755102040816327
pca,industry,G55水上运输业,0.06938775510204082
pca,industry,C38电气机械和器材制造业,0.0653061224489796
pca,industry,C36汽车制造业,0.044897959183673466
pca,industry,J67资本市场服务,0.036734693877551024
pca,industry,I63电信、广播电视和卫星传输服务,0.012244897959183673
pca,industry,C35专用设备制造业,0.012244897959183673
pca,style,volatility_factor,0.37142857142857144
pca,style,momentum_factor,0.27755102040816326
pca,style,quality_factor,0.27755102040816326
pca,style,value_factor,0.07346938775510205
