model,rank,mse,rmse,explained_variance,compression_ratio,bic,ic_mean,rank_ic_mean,ir,rolling_stability
cp,2,0.8409334819848991,0.9170242537604439,-0.024326691505201614,21.137254901960784,2868.0219212148504,-0.07830732260603465,-0.08343784953334434,-0.5260174172343585,0.6658048521312594
tucker,"(3, 2, 2)",0.44542156447678416,0.6673991043422101,0.4574396105758003,18.747826086956522,-3379.0211882534586,0.03755231346847059,0.024047199538150647,0.23587819363470852,0.9714659531988824
pca,3,0.10829863014746675,0.3290875721559031,0.8680832909023212,0.33487620763567455,274945.390860194,0.059395047743997065,0.042343674380640114,0.32359714150892294,0.9724138879294818
