trade_date,model,cumulative_nav,drawdown
2019-10-24,tucker,1.0091472463526896,0.0
2019-10-25,tucker,0.9955946339374415,-0.013429767027785644
2019-10-28,tucker,1.018919125800187,0.0
2019-10-29,tucker,1.0390438644039743,0.0
2019-10-30,tucker,1.0616229511578854,0.0
2019-10-31,tucker,1.0839039501362129,0.0
2019-11-01,tucker,1.0690840266622497,-0.013672727617701552
2019-11-04,tucker,1.0392420831079432,-0.041204635357825814
2019-11-05,tucker,1.0228049683244396,-0.05636936907933132
2019-11-06,tucker,1.0260632270372707,-0.053363329003158766
2019-11-07,tucker,1.006585659953317,-0.07133315657091155
2019-11-08,tucker,1.0094874601388295,-0.06865598191429378
2019-11-11,tucker,1.0276621549346947,-0.05188817255850975
2019-11-12,tucker,1.0368709883609601,-0.04339218596753169
2019-11-13,tucker,1.0183618512769623,-0.06046854875933794
2019-11-14,tucker,1.0072213080805306,-0.07074671334673677
2019-11-15,tucker,0.9782320354599798,-0.09749195458043436
2019-11-18,tucker,0.9448527786318736,-0.12828735561565663
2019-11-19,tucker,0.9391255247818736,-0.133571268317774
2019-11-20,tucker,0.9392754524187692,-0.13343294643337023
2019-11-21,tucker,0.9534586057168573,-0.12034769723180982
2019-11-22,tucker,1.0015261105734317,-0.0760010511562661
2019-11-25,tucker,1.054923964472792,-0.02673667317088302
2019-11-26,tucker,1.0955850060967893,0.0
2019-11-27,tucker,1.1571183919014854,0.0
2019-11-28,tucker,1.2300934988796708,0.0
2019-11-29,tucker,1.3137930233087154,0.0
2019-12-02,tucker,1.4007608613460485,0.0
2019-12-03,tucker,1.4597429382990499,0.0
2019-12-04,tucker,1.5005588267806502,0.0
2019-12-05,tucker,1.5445835709505267,0.0
2019-12-06,tucker,1.6330327439007575,0.0
2019-12-09,tucker,1.724751515478195,0.0
2019-12-10,tucker,1.8752162166272106,0.0
2019-12-11,tucker,1.9977921680111703,0.0
2019-12-12,tucker,2.0792222805926737,0.0
2019-12-13,tucker,2.031399908619611,-0.0230001248156263
2019-12-16,tucker,2.007836440734712,-0.03433295252954549
2019-12-17,tucker,1.9987914017352328,-0.03868315552799595
2019-12-18,tucker,2.0452741775140555,-0.016327308241878447
2019-12-19,tucker,2.101864717473214,0.0
2019-12-20,tucker,2.2158083229227477,0.0
2019-12-23,tucker,2.2633141547209594,0.0
2019-12-24,tucker,2.3294418947153,0.0
2019-12-25,tucker,2.3764894233815927,0.0
2019-12-26,tucker,2.5307226345740004,0.0
2019-12-27,tucker,2.7146864439002156,0.0
2019-12-30,tucker,2.8591100183764615,0.0
2019-12-31,tucker,2.95280565472303,0.0
