trade_date,model,portfolio_return,benchmark_return,excess_return,cumulative_nav,drawdown
2017-10-24,tucker,0.006528395363604261,0.004793530973153937,0.001734864390450324,1.0017348643904502,0.0
2017-10-25,tucker,-0.0008402657276893015,0.005281168143565607,-0.006121433871254908,0.9956028106615536,-0.0061214338712548555
2017-10-26,tucker,0.002251691863138514,0.004546019017882541,-0.002294327154744027,0.9933185720977135,-0.008401716454041974
2017-10-27,tucker,0.022208322892772425,0.005103820359651845,0.01710450253312058,1.0103087921303546,0.0
2017-10-30,tucker,0.027564426000455364,-0.005183327256833903,0.032747753257289264,1.0433941351687095,0.0
2017-10-31,tucker,0.02513983020937227,0.0016249177606160181,0.023514912448756253,1.0679294569067472,0.0
2017-11-01,tucker,0.04460718872393573,-0.0015341142033407085,0.04614130292727644,1.1172051134828431,0.0
2017-11-02,tucker,0.05423246845408997,-0.002494558330720875,0.05672702678481085,1.180580837879512,0.0
2017-11-03,tucker,0.05035064836074053,-0.00214670160405106,0.05249734996479159,1.2425582032873996,0.0
2017-11-06,tucker,0.02656615821825065,0.009627710773898679,0.01693844744435197,1.2636052101103317,0.0
2017-11-07,tucker,-0.0005940388591855136,0.007688471905225258,-0.008282510764410772,1.2531393863556273,-0.008282510764410778
2017-11-08,tucker,-0.015297517360589562,-0.00199901030460381,-0.013298507055985752,1.2364745033840432,-0.021470872792554885
2017-11-09,tucker,-0.050212495084100035,0.008060112273650555,-0.05827260735775059,1.1644219101404751,-0.07849231641043675
2017-11-10,tucker,-0.04651101574555492,0.009209100758396538,-0.05572011650395146,1.099540185647694,-0.12983883189933365
2017-11-13,tucker,-0.0355229620534663,0.004895330112721474,-0.04041829216618777,1.0550986491757213,-0.16500926022329765
2017-11-14,tucker,-0.020687424466709764,-0.0076063500202979695,-0.013081074446411795,1.0412968251975452,-0.17593183625238107
2017-11-15,tucker,-0.053866044722804575,-0.008146920145542302,-0.04571912457726227,0.993689645924431,-0.21360751129091415
2017-11-16,tucker,-0.023589021049658432,0.008478660085177392,-0.032067681134835824,0.9618243232119384,-0.23882529486566717
2017-11-17,tucker,-0.05618456574573265,-0.003624685745772682,-0.052559879999959966,0.9112709522028763,-0.2788325460265325
2017-11-20,tucker,-0.04207823673706642,0.007807166866850457,-0.04988540360391688,0.8658118329597102,-0.31480827553400803
2017-11-21,tucker,-0.035898432683669934,0.013510616862655977,-0.04940904954632591,0.8230328932072086,-0.34866294739688075
2017-11-22,tucker,-0.018995103559672207,0.0023497065510493798,-0.021344810110721587,0.805465412386823,-0.36256561310277136
2017-11-23,tucker,-0.015409149556392271,-0.030033591033388318,0.014624441476996047,0.8172448941720186,-0.35324349121616794
2017-11-24,tucker,-0.009800603712705495,-0.0003915580093191151,-0.00940904570338638,0.8095553996118949,-0.3593288527662777
2017-11-27,tucker,-0.05750752297120315,-0.014282232406718331,-0.04322529056448482,0.7745621322356232,-0.3870220492617371
2017-11-28,tucker,-0.05169266428490079,0.00507551456092048,-0.05676817884582127,0.7305916505856707,-0.42181969119779184
2017-11-29,tucker,-0.03430323309878957,-0.0014804792008047407,-0.03282275389798483,0.7066116206385746,-0.44079716118226764
2017-11-30,tucker,-0.032107629750667804,-0.011254245639969684,-0.02085338411069812,0.6918763770963156,-0.45245843277592657
2017-12-01,tucker,-0.0014915447227050972,0.0005473137131009054,-0.0020388584358060026,0.6904657391083379,-0.45357479251921584
2017-12-04,tucker,0.022815473035589326,0.004231578291981064,0.018583894743608262,0.703297281727995,-0.4434200839781386
2017-12-05,tucker,0.012903934459927487,-0.0006155658445098355,0.013519500304437323,0.7128055095424265,-0.4358954016340374
2017-12-06,tucker,0.017555678068678127,-0.003611476074524944,0.02116715414320307,0.7278935736370354,-0.4239549126475354
2017-12-07,tucker,-0.00023615169971977066,-0.010135443142120781,0.009899291442401011,0.7350992042615192,-0.41825247444387004
2017-12-08,tucker,-0.019490380068313985,0.009565293574539835,-0.02905567364285382,0.713740401687375,-0.43515554068896667
2017-12-11,tucker,-0.00891184023671648,0.017327200834874157,-0.026239041071590637,0.6950125379730464,-0.4499765176558892
2017-12-12,tucker,-0.01217892301019189,-0.01248479864215779,0.00030587563196590034,0.6952251253723231,-0.44980827887563124
2017-12-13,tucker,-0.005589565046989446,0.009459830604578556,-0.015049395651568001,0.684762407393684,-0.458088331771049
2017-12-14,tucker,0.010855073601915791,-0.0038046423658117945,0.014659715967727586,0.6948008297914527,-0.45014406063521517
2017-12-15,tucker,0.00572797941996532,-0.011151368316722698,0.01687934773668802,0.7065286146052421,-0.44086285102959366
2017-12-18,tucker,0.013564734360596738,2.227359999285028e-05,0.013542460760603888,0.7160967506447774,-0.43329075812986606
2017-12-19,tucker,0.0039352086193523705,0.012121023137300346,-0.008185814517947976,0.710234915467094,-0.4379297348694219
