trade_date,model,quantile,daily_return,cumulative_nav
2020-10-27,tucker,1,0.007297477340030478,1.0072974773400305
2020-10-27,tucker,2,-0.010988492233674152,0.9890115077663258
2020-10-27,tucker,3,0.014963361720281631,1.0149633617202816
2020-10-27,tucker,4,0.07630332568816096,1.076303325688161
2020-10-27,tucker,5,0.03289761275458516,1.0328976127545852
2020-10-28,tucker,1,0.01707473486025781,1.024496814691018
2020-10-28,tucker,2,-0.002411724757965139,0.9866262842271334
2020-10-28,tucker,3,-0.015231510241740609,0.9995039368812476
2020-10-28,tucker,4,0.06329076050505755,1.144423381705087
2020-10-28,tucker,5,0.018192414768676574,1.0516885145393924
2020-10-29,tucker,1,0.038995906186624144,1.0644479963652043
2020-10-29,tucker,2,-0.00786643518286161,0.9788650525125531
2020-10-29,tucker,3,0.04310035136807033,1.042582907754599
2020-10-29,tucker,4,0.05005230989011962,1.2017044154516887
2020-10-29,tucker,5,0.013464239020633392,1.0658487000744057
2020-10-30,tucker,1,0.07183879477551991,1.1409166575252976
2020-10-30,tucker,2,-0.013950362678127926,0.9652095300170582
2020-10-30,tucker,3,0.048636579203689,1.0932905739240177
2020-10-30,tucker,4,0.0535330790670824,1.266035352939326
2020-10-30,tucker,5,0.004930546514841187,1.0711039166679057
2020-11-02,tucker,1,0.06180781823171326,1.2114342269111549
2020-11-02,tucker,2,0.021987955648528644,0.9864325143546105
2020-11-02,tucker,3,0.033704601797864366,1.1301394973674854
2020-11-02,tucker,4,0.07384225710626255,1.3595222609766895
2020-11-02,tucker,5,0.049217024145951783,1.1238204639973735
2020-11-03,tucker,1,0.07627747848746154,1.3038393750933452
2020-11-03,tucker,2,0.02646156748064161,1.012535064898304
2020-11-03,tucker,3,0.03665031575861555,1.1715594667972868
2020-11-03,tucker,4,0.06958254134620803,1.4541212749121903
2020-11-03,tucker,5,-0.013900803252425117,1.1081984568362968
2020-11-04,tucker,1,0.0633325005481034,1.3864147830310833
2020-11-04,tucker,2,-0.0044268128174808075,1.0080527616948634
2020-11-04,tucker,3,0.03519932241005659,1.2127975661916386
2020-11-04,tucker,4,0.048005342775448476,1.5239268651514224
2020-11-04,tucker,5,-0.04203444807512097,1.0616159463454824
2020-11-05,tucker,1,0.0255325684722316,1.4218135134097387
2020-11-05,tucker,2,-0.0024306480612968917,1.0056025402039648
2020-11-05,tucker,3,0.013809038768057303,1.2295451348009845
2020-11-05,tucker,4,0.051879888928993555,1.6029880216513874
2020-11-05,tucker,5,-0.03820222042717417,1.0210598599541891
2020-11-06,tucker,1,0.01596901489696747,1.4445184745860886
2020-11-06,tucker,2,0.02298449619911087,1.028715807967099
2020-11-06,tucker,3,0.055112271764796536,1.2973081604172196
2020-11-06,tucker,4,0.03760880696900197,1.6632744887312967
2020-11-06,tucker,5,-0.001995731749374933,1.0190220983736662
2020-11-09,tucker,1,0.029262825450559183,1.4867891665680093
2020-11-09,tucker,2,0.019634410308376093,1.0489140362314378
2020-11-09,tucker,3,0.0302657259069802,1.336572133617296
2020-11-09,tucker,4,0.02818832396176436,1.7101594088569925
