from,to,shift_score
2018-10-26,2018-10-29,0.8077603886873874
2018-11-07,2018-11-08,0.7662238153855795
2018-12-07,2018-12-10,0.6191417874870598
2018-10-24,2018-10-25,0.5888219296359245
2018-12-14,2018-12-17,0.5813025539149302
