from,to,shift_score
2019-11-12,2019-11-13,2746698.3650561506
2019-11-25,2019-11-26,2399915.1455569705
2019-11-04,2019-11-05,2181908.655990014
2019-12-19,2019-12-20,1869260.146509493
2019-12-27,2019-12-30,1726617.5453959121
