left,right,score
600050.SH,600104.SH,0.9911231158424236
600011.SH,600018.SH,0.9815716838151589
600089.SH,600111.SH,0.9811409890042364
600018.SH,600036.SH,0.9289953520091122
600011.SH,600104.SH,0.9245319414055185
