trade_date,model,long_quantile,short_quantile,long_return,short_return,long_short_return,cumulative_nav,drawdown
2026-03-16,cp,1,5,-0.02516230926134788,-0.037440678451161336,0.012278369189813454,1.0122783691898134,0.0
2026-03-17,cp,1,5,-0.03363757550522056,-0.029410906530569252,-0.0042266689746513104,1.0079998036130482,-0.004226668974651293
2026-03-18,cp,1,5,-0.027738758689690668,-0.03068159947730494,0.002942840787614271,1.0109661865490278,-0.001296266600891438
2026-03-19,cp,1,5,-0.019598240764769403,-0.022209541514591258,0.0026113007498218543,1.0136061233100078,0.0
2026-03-20,cp,1,5,0.014986778454878225,0.004932647839049731,0.010054130615828494,1.0237970516667703,0.0
2026-03-23,cp,1,5,-0.012917966327962438,-0.013625545451952936,0.0007075791239904983,1.0245214690877327,0.0
2026-03-24,cp,1,5,-0.037662604139535705,-0.016657675701167624,-0.02100492843836808,1.0030014689459732,-0.021004928438367987
2026-03-25,cp,1,5,-0.04050065855933277,-0.010319793490122279,-0.030180865069210493,0.9727300169474948,-0.05055184659659173
2026-03-26,cp,1,5,-0.05446034772216379,-0.018652487142478413,-0.03580786057968538,0.9378986361189638,-0.0845495537013008
2026-03-27,cp,1,5,0.0,0.0,0.0,0.9378986361189638,-0.0845495537013008
2026-03-30,cp,1,5,0.0,0.0,0.0,0.9378986361189638,-0.0845495537013008
