from,to,shift_score
2015-11-17,2015-11-18,0.5151332081572617
2015-12-03,2015-12-04,0.47761674774761786
2015-12-29,2015-12-30,0.36303059184281006
2015-11-18,2015-11-19,0.32424456616129843
2015-10-29,2015-10-30,0.32155192307205327
