from,to,shift_score
2025-12-18,2025-12-19,0.08179111575200611
2025-10-30,2025-10-31,0.06998827097570792
2025-10-27,2025-10-28,0.05925975797922901
2025-11-20,2025-11-21,0.05287902672224448
2025-11-27,2025-11-28,0.03962433157267146
