from,to,shift_score
2021-11-16,2021-11-17,0.12222540889539572
2021-11-11,2021-11-12,0.103057694762235
2021-11-29,2021-11-30,0.08324083161757655
2021-12-22,2021-12-23,0.07012699946921919
2021-12-10,2021-12-13,0.06955580895304507
