from,to,shift_score
2016-12-09,2016-12-12,0.2845866124964904
2016-12-16,2016-12-19,0.25776709902730127
2016-10-28,2016-10-31,0.14131620644459317
2016-12-07,2016-12-08,0.12470000630094066
2016-12-29,2016-12-30,0.11855919995177851
