trade_date,model,cumulative_nav,drawdown
2018-10-24,cp,1.0148467881339005,0.0
2018-10-25,cp,1.0461692718928766,0.0
2018-10-26,cp,1.088948977469531,0.0
2018-10-29,cp,1.1317068315483447,0.0
2018-10-30,cp,1.1502410954130382,0.0
2018-10-31,cp,1.1735862509927912,0.0
2018-11-01,cp,1.1556387628427058,-0.015292858224014494
2018-11-02,cp,1.158963887496873,-0.012459555898468033
2018-11-05,cp,1.1824608946213044,0.0
2018-11-06,cp,1.208322740546089,0.0
2018-11-07,cp,1.2509749327120143,0.0
2018-11-08,cp,1.3268972261417842,0.0
2018-11-09,cp,1.395685731386509,0.0
2018-11-12,cp,1.4074640718281615,0.0
2018-11-13,cp,1.4249310818449343,0.0
2018-11-14,cp,1.427872091842102,0.0
2018-11-15,cp,1.3702463713779398,-0.04035776089006615
2018-11-16,cp,1.298551795072375,-0.09056854427548222
2018-11-19,cp,1.2704924432963485,-0.11021971046630485
2018-11-20,cp,1.2550065731934756,-0.12106512875786513
2018-11-21,cp,1.217254981666424,-0.147504185689322
2018-11-22,cp,1.2266909332767333,-0.14089578451374052
2018-11-23,cp,1.2711039611302348,-0.10979143832807892
2018-11-26,cp,1.320193418221109,-0.07541198839601682
2018-11-27,cp,1.34001725886036,-0.06152850348689154
2018-11-28,cp,1.3632126430220988,-0.04528378220249818
2018-11-29,cp,1.3813858038665097,-0.0325563390734952
2018-11-30,cp,1.3437833662398337,-0.05889093713834348
2018-12-03,cp,1.2993097915104566,-0.09003768689518032
2018-12-04,cp,1.2717235791631394,-0.10935749327344502
2018-12-05,cp,1.2752856459579702,-0.10686282528799862
2018-12-06,cp,1.247272742905522,-0.12648146144770456
2018-12-07,cp,1.2366374913696676,-0.13392978374254938
2018-12-10,cp,1.2127958226293423,-0.15062712580598814
2018-12-11,cp,1.1714005285962208,-0.17961802370897695
2018-12-12,cp,1.1168066785720319,-0.21785243583601643
2018-12-13,cp,1.0831461420614052,-0.24142635166709137
2018-12-14,cp,1.0501629389718217,-0.2645259018845285
2018-12-17,cp,1.0166939071568117,-0.28796569877265965
2018-12-18,cp,0.988618149907288,-0.30762835441942926
2018-12-19,cp,0.9662765597569307,-0.32327512717869955
2018-12-20,cp,0.9516097962465846,-0.33354689003066795
2018-12-21,cp,0.926552318960141,-0.3510957149076336
2018-12-24,cp,0.9180868993100948,-0.3570244109711058
2018-12-25,cp,0.934544690185467,-0.34549831492272653
2018-12-26,cp,0.9661931190238139,-0.32333356429893845
2018-12-27,cp,0.9886325534958785,-0.30761826696924877
2018-12-28,cp,1.02656209066522,-0.28105458708080133
